id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,total
6800,Daniil Krugovoy,Zenit St. Petersburg,0.0533,0.0,0.1532,2.238,-,0.0,1.0441,0.7459,-,0.0,0.2012,0.0,0.0508,0.107,-,-,-,0.0,-,-,0.0,4.5935
8984,Wendel,Zenit St. Petersburg,-,-,-,-,-,-,-,-,-,-,0.0475,0.0,-,0.4987,-,-,0.8446,0.1793,0.6511,0.6483,1.7017,4.5712
3058,Yuri Zhirkov,Zenit St. Petersburg,0.0533,-,0.5267,-,0.0519,0.3196,0.679,0.1312,0.2071,-,-,-,0.6277,0.1434,0.2744,0.7982,0.6538,-,0.0631,-,-,4.5294
2986,Nikita Burmistrov,PFC Sochi,0.2845,0.0,0.1002,0.3652,1.1676,0.206,0.1872,0.1555,0.0311,0.1648,0.0,0.0773,0.3435,0.6761,0.7265,0.0271,-,-,-,-,0.0,4.5126
7452,Dmitri Rybchinsky,Lokomotiv Moscow,0.791,0.7534,0.1321,0.1152,0.1293,0.1332,0.1726,0.0,0.0889,0.3153,0.2007,0.6631,0.0106,0.3902,0.0,0.1956,-,0.1424,0.0,0.0536,0.1448,4.432
2881,Alan Dzagoev,CSKA Moscow,0.8073,0.0278,-,-,-,-,-,-,-,0.0,0.4788,0.212,0.4489,0.3393,-,-,0.6956,0.1492,1.2327,-,-,4.3916
3924,Hördur Bjorgvin Magnusson,CSKA Moscow,-,0.0103,0.0,0.3477,0.1294,0.1307,0.0,0.3556,0.7948,0.0,-,0.5067,0.4556,0.5061,0.1167,0.0944,0.4636,0.1492,0.095,0.0801,0.1386,4.3745
6773,Samuel Gigot,Spartak Moscow,0.2089,0.2463,0.2596,0.3267,0.3953,0.0,0.244,-,0.0588,0.102,-,0.07,0.6847,0.0228,0.1166,0.165,1.2707,0.0748,0.0153,0.0863,0.0,4.3478
2920,Sergei Petrov,FC Krasnodar,0.394,0.2638,0.4637,0.0281,0.5734,0.8495,-,1.1021,0.4516,-,0.135,-,-,-,-,-,-,-,-,-,-,4.2612
7652,Zuriko Davitashvili,FC Rotor Volgograd,-,-,-,0.0165,0.6317,0.4051,-,-,-,-,0.4092,0.0,0.2171,0.7541,0.0768,0.3401,0.1874,0.3227,-,0.2864,0.5981,4.2452
960,Clinton N'Jie,Dinamo Moscow,0.3343,0.93,0.2612,0.1479,-,0.2281,0.092,0.4257,0.2185,0.2405,0.0629,0.0769,-,0.7936,0.124,-,0.0,0.0,0.296,-,-,4.2316
8347,Maksim Nenakhov,FK Akhmat,0.0583,0.0397,-,0.2058,0.6282,0.0634,0.3216,0.5806,0.1987,0.0104,-,0.0959,0.1304,0.8197,0.4344,0.0215,0.0413,0.0355,0.4623,0.0721,0.0,4.2198
2884,Roman Eremenko,FC Rostov,0.0,0.0136,0.1148,-,0.2866,0.2437,0.0529,-,0.0,-,2.0245,0.4863,0.1369,0.5099,0.1549,0.0259,0.0188,0.1138,0.0211,-,-,4.2037
8624,Marat Bystrov,FK Akhmat,-,-,1.0973,0.2729,0.8925,-,0.7314,0.0,0.306,0.0,0.511,0.0,0.0436,0.1335,-,0.0,0.0133,0.1248,0.0766,-,0.0,4.2029
3162,Khoren Bayramyan,FC Rostov,0.0,0.0,0.0238,0.695,0.0,0.1741,0.5537,-,0.0164,0.0093,-,0.529,-,-,0.9147,0.7248,0.0487,0.1138,0.1269,0.1825,-,4.1127
2915,Georgy Schennikov,CSKA Moscow,0.7115,0.1118,0.0643,0.3216,0.1595,0.0,0.1589,0.4769,0.867,-,-,-,-,-,0.0,0.1667,0.2169,0.0394,0.7378,0.0801,-,4.1124
7471,Baktiyor Zainutdinov,CSKA Moscow,-,-,-,-,0.2226,0.0,0.121,0.4195,0.2277,0.2959,0.3706,0.4291,0.4109,0.0,0.0127,0.2794,0.2979,0.5355,-,0.2939,0.1561,4.0728
7650,Murilo Cerqueira,Lokomotiv Moscow,0.1095,0.1492,0.7319,0.0,0.1145,0.094,0.0483,0.2381,0.3077,0.3696,0.0204,0.1349,0.105,0.3963,0.4918,0.0592,0.2815,-,0.2758,-,0.1362,4.0639
2751,Aleksey Ionov,FC Krasnodar,-,-,-,-,-,0.1069,-,-,-,-,0.0278,0.0503,0.1155,0.072,0.774,-,0.1385,0.8314,0.0,1.2037,0.7256,4.0457
