id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
5454,Fedor Chalov,CSKA Moscow,1,-,-,-,4,2,0,4,2,1,1,4,3,3,1,2,3,2,8,2,0,2,0,45
5458,Timur Zhamaletdinov,FC Ufa,-,0,2,1,2,1,2,2,-,3,0,0,1,1,5,4,0,7,3,5,4,0,2,45
2887,Kirill Panchenko,Arsenal Tula,-,-,-,-,-,-,-,-,-,3,4,1,7,8,4,5,3,4,5,0,-,0,-,44
2414,Grzegorz Krychowiak,Lokomotiv Moscow,4,1,5,2,2,-,1,1,-,4,2,3,-,0,0,2,4,3,4,3,2,0,1,44
2771,Christian Noboa,PFC Sochi,5,4,2,2,2,2,2,4,1,3,2,-,-,-,-,2,0,2,5,1,1,-,4,44
7668,Marcus Berg,FC Krasnodar,4,2,3,3,3,2,-,8,2,1,1,-,1,2,-,3,-,3,3,-,-,-,-,41
3262,Malcom,Zenit St. Petersburg,2,4,4,3,4,2,5,2,2,4,-,-,-,-,0,1,3,1,4,-,-,-,-,41
5536,Daniil Fomin,Dinamo Moscow,1,3,0,2,0,1,1,0,4,1,0,2,5,1,3,2,2,0,2,2,3,0,4,39
7648,Tonny Vilhena,FC Krasnodar,-,-,-,3,3,3,-,3,0,6,1,2,-,1,2,1,2,0,2,2,3,3,2,39
2450,Wanderson,FC Krasnodar,5,4,5,-,2,4,-,2,-,-,-,-,-,-,-,0,1,1,4,2,3,2,3,38
4605,Anton Miranchuk,Lokomotiv Moscow,-,0,0,1,4,1,1,3,0,5,3,3,2,0,4,-,3,6,1,-,-,-,-,37
5417,Mohamed Konate,Khimki,2,0,4,4,0,1,-,-,0,1,0,6,1,2,3,1,-,0,5,4,-,3,0,37
2772,Aleksandr Erokhin,Zenit St. Petersburg,-,1,0,2,1,0,1,0,5,5,3,4,2,-,2,2,3,0,0,3,1,-,0,35
5926,Magomed-Shapi Suleymanov,FC Krasnodar,1,1,0,1,0,0,-,1,5,1,3,1,3,1,5,1,4,1,0,3,3,0,0,35
8694,Chidera Ejuke,CSKA Moscow,-,-,-,-,-,1,2,6,3,0,1,3,2,1,1,0,2,2,1,2,3,3,2,35
6793,Daniil Lesovoy,Dinamo Moscow,-,-,-,4,-,-,-,2,2,2,1,2,3,2,1,1,3,1,1,2,5,0,3,35
6611,Vyacheslav Grulev,Dinamo Moscow,0,-,-,0,-,1,0,7,3,3,1,2,-,-,1,1,4,3,1,0,4,1,2,34
7475,Ayrton Lucas,Spartak Moscow,2,4,1,1,1,1,1,1,3,1,0,1,0,2,1,-,1,3,2,1,2,1,4,34
2986,Nikita Burmistrov,PFC Sochi,2,1,2,5,4,2,2,2,1,3,0,2,3,0,2,2,-,-,-,-,0,-,-,33
5442,Ivan Oblyakov,CSKA Moscow,3,1,1,3,1,1,2,3,2,0,1,3,0,4,0,3,2,1,-,-,-,0,0,31
2822,George Melkadze,FK Akhmat,-,-,-,1,0,3,0,1,4,2,5,0,2,1,1,3,2,-,2,2,1,1,-,31
2925,Fedor Smolov,Lokomotiv Moscow,2,3,6,2,-,1,2,3,5,-,1,0,1,0,-,-,-,-,-,-,1,1,2,30
2869,Reziuan Mirzov,Khimki,-,-,-,-,-,-,-,-,-,1,6,2,2,3,-,1,4,-,-,2,3,2,4,30
2880,Sergey Tkachev,Arsenal Tula,-,2,1,-,2,1,1,4,3,0,-,-,-,4,-,-,0,3,3,0,3,-,2,29
5478,Viktor Claesson,FC Krasnodar,-,-,0,2,2,2,-,4,3,1,1,-,-,1,0,0,3,4,1,1,2,2,0,29
7283,Daniil Utkin,FC Krasnodar,3,2,1,0,3,2,-,1,5,0,1,4,3,0,2,0,-,-,-,-,0,1,1,29
7652,Zuriko Davitashvili,FC Rotor Volgograd,-,-,-,0,3,1,-,-,-,-,4,0,3,3,2,4,2,1,-,3,3,-,0,29
