id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
2832,Brian Idowu,Khimki,0.0,0.0982,0.0,0.0,-,0.0099,0.3195,0.0466,0.0,0.0235,0.6061,0.8854,0.0,0.0395,0.0,0.0981,0.1073,0.0,2.2341
7680,Andrey Mostovoy,Zenit St. Petersburg,0.0,0.0,-,0.0641,0.0798,0.0,0.8405,0.2677,0.0836,0.1026,0.0,0.0,0.5925,0.1168,0.0,0.0431,0.0,-,2.1907
5417,Mohamed Konate,Khimki,0.0816,0.0,0.1015,0.2406,0.0,0.1134,-,-,0.0,0.0392,0.0,0.3634,0.3977,0.122,0.1868,0.5416,-,0.0,2.1878
3390,Rémy Cabella,FC Krasnodar,0.166,0.0291,0.2559,-,-,0.121,-,0.1283,0.1952,0.0384,0.7543,-,-,0.0,0.2726,0.0,0.2238,-,2.1846
5926,Magomed-Shapi Suleymanov,FC Krasnodar,0.0878,0.0964,0.0,0.0308,0.0,0.0,-,0.5546,0.3013,0.1116,0.1984,0.0262,0.0532,0.0251,0.4033,0.0335,0.1889,-,2.1111
6773,Samuel Gigot,Spartak Moscow,0.0,0.0,0.0303,0.0791,0.8233,0.4296,0.099,-,0.0,0.0606,-,0.0,0.1555,0.1231,0.0,0.0558,0.214,-,2.0703
1811,Andrés Ponce,FC Rotor Volgograd,-,-,0.8445,-,-,-,-,-,-,-,0.0,0.0249,0.0241,0.7933,0.0,0.34,0.0355,-,2.0623
8599,Ilya Kukharchuk,Khimki,0.0127,-,-,-,0.0,-,-,-,0.0774,0.0171,0.1362,0.0,0.0164,0.7684,0.3425,-,0.4277,0.1657,1.9641
2869,Reziuan Mirzov,Khimki,-,-,-,-,-,-,-,-,-,0.0445,0.488,0.4967,0.0812,0.1542,-,0.0403,0.6288,-,1.9337
3035,Evgeni Lutsenko,Arsenal Tula,0.4946,0.2885,0.3471,0.1608,0.0545,-,-,0.0,-,-,-,-,-,-,-,-,0.0,0.5672,1.9127
2884,Roman Eremenko,FC Rostov,0.0,0.0,0.0346,-,0.2569,0.0797,0.0,-,0.0,-,0.5254,0.0,0.0398,0.7543,0.0542,0.0,0.1544,-,1.8993
6331,Alexander Lomovitskiy,Khimki,-,0.0,0.0624,0.0,0.0,0.5679,0.0635,0.0,1.0406,-,-,-,-,-,-,-,-,0.1388,1.8732
4247,Maximilian Philipp,Dinamo Moscow,0.1896,0.6244,0.8189,0.0,0.0,0.0,0.2351,-,-,-,-,-,-,-,-,-,-,-,1.868
7452,Dmitri Rybchinsky,Lokomotiv Moscow,0.5532,0.2638,0.0,0.0,0.0223,0.0,0.1206,0.0,0.0,0.3153,0.0,0.518,0.0,0.0345,0.0,0.0,-,-,1.8277
