team,pos,fpl_first_name,fpl_last_name,fpl_web_name,start_cost,now_cost,FPL_ID,Understat_ID
Leicester,M,Demarai,Gray,Gray,5.5,5.1,230,762
Leicester,M,James,Maddison,Maddison,7,7.3,231,6818
Chelsea,D,Benjamin,Chilwell,Chilwell,5.5,6.0,232,782
Leicester,F,Kelechi,Iheanacho,Iheanacho,6,5.6,233,620
Leicester,M,Hamza,Choudhury,Choudhury,5,4.7,234,6418
Leicester,M,Harvey,Barnes,Barnes,7,6.9,235,6681
Leicester,M,Wilfred,Ndidi,Ndidi,5,4.8,236,5545
Leicester,D,Filip,Benkovic,Benkovic,4.5,4.3,237,-1
Leicester,D,Çaglar,Söyüncü,Söyüncü,5.5,5.3,238,5264
Leicester,D,James,Justin,Justin,4.5,5.1,239,7753
Leicester,D,Luke,Thomas,Thomas,4.5,4.2,240,8562
Liverpool,M,James,Milner,Milner,5.5,5.3,241,489
Liverpool,D,Konstantinos,Tsimikas,Tsimikas,5,4.9,242,-1
Liverpool,M,Georginio,Wijnaldum,Wijnaldum,5.5,5.3,243,771
Liverpool,M,Jordan,Henderson,Henderson,5.5,5.4,244,605
Liverpool,G,Adrián,San Miguel del Castillo,Adrián,4.5,4.2,245,527
Liverpool,D,Joel,Matip,Matip,5.5,5.4,246,332
Liverpool,M,Xherdan,Shaqiri,Shaqiri,6.5,6.4,247,888
Liverpool,M,Alex,Oxlade-Chamberlain,Chamberlain,6.5,6.3,248,966
Liverpool,F,Roberto,Firmino,Firmino,9.5,9.5,249,482
Liverpool,D,Virgil,van Dijk,van Dijk,6.5,6.3,250,833
Liverpool,M,Sadio,Mané,Mané,12,11.9,251,838
Liverpool,G,Alisson,Ramses Becker,Alisson,6,5.9,252,1257
Liverpool,M,Fabio Henrique,Tavares,Fabinho,5.5,5.4,253,3420
Liverpool,M,Mohamed,Salah,Salah,12,12.7,254,1250
Liverpool,D,Andrew,Robertson,Robertson,7,7.4,255,1688
Liverpool,F,Divock,Origi,Origi,5.5,5.2,256,484
Liverpool,M,Harry,Wilson,Harry Wilson,5.5,5.1,257,5596
Southampton,M,Takumi,Minamino,Minamino,6.5,6.0,258,8239
Liverpool,D,Trent,Alexander-Arnold,Alexander-Arnold,7.5,7.4,259,1791
Liverpool,D,Joseph,Gomez,Gomez,5.5,5.2,260,987
Liverpool,M,Naby,Keita,Keita,5.5,5.2,261,5247
Sheffield Utd,F,Rhian,Brewster,Brewster,4.5,4.5,262,5569
Liverpool,M,Curtis,Jones,Jones,4.5,4.4,263,6665
Liverpool,D,Neco,Williams,Williams,4,3.9,264,8204
Liverpool,M,Harvey,Elliott,Elliott,4.5,4.3,265,7546
Man City,D,Fernando,Luiz Rosa,Fernandinho,5.5,5.4,266,614
Man City,G,Claudio,Bravo,Bravo,4.5,4.5,267,1731
Man City,F,Sergio,Agüero,Agüero,10.5,10.3,268,619
Man City,D,Nicolás,Otamendi,Otamendi,5,4.9,269,611
Man City,D,Kyle,Walker,Walker,6,6.1,270,638
Man City,M,Ilkay,Gündogan,Gündogan,5.5,5.9,271,314
Man City,M,Kevin,De Bruyne,De Bruyne,11.5,11.8,272,447
Man City,D,John,Stones,Stones,5,5.2,273,586
Man City,D,Benjamin,Mendy,Mendy,6,5.9,274,3389
Man City,M,Riyad,Mahrez,Mahrez,8.5,8.1,275,750
Man City,M,Raheem,Sterling,Sterling,11.5,11.6,276,618
Man City,D,João Pedro Cavaco,Cancelo,Cancelo,5.5,6.0,277,2379
Man City,G,Ederson,Santana de Moraes,Ederson,6,6.1,278,6054
Man City,D,Nathan,Aké,Aké,5.5,5.4,279,579
Man City,D,Aymeric,Laporte,Laporte,6,6.0,280,2498
Man City,M,Bernardo Mota,Veiga de Carvalho e Silva,Bernardo Silva,7.5,7.4,281,3635
Man City,F,Gabriel Fernando,de Jesus,Jesus,9.5,9.2,282,5543
Man City,D,Oleksandr,Zinchenko,Zinchenko,5.5,5.5,283,2958
Man City,M,Phil,Foden,Foden,6.5,6.1,284,6055
Man City,M,Tommy,Doyle,Doyle,4.5,4.4,285,8496
Man City,M,Rodrigo,Hernandez,Rodrigo,5.5,5.3,286,2496
Man City,M,Ferran,Torres,Torres,7,6.9,287,6441
Man City,D,Eric,Garcia,Garcia,5,4.7,288,8045
Man Utd,G,Sergio,Romero,Romero,5,4.9,289,560
Man Utd,M,Juan,Mata,Mata,6,5.8,290,554
Man Utd,G,David,de Gea,de Gea,5.5,5.3,291,546
Man Utd,D,Chris,Smalling,Smalling,5,4.9,292,628
Man Utd,F,Odion,Ighalo,Ighalo,6.5,6.1,293,573
Man Utd,D,Marcos,Rojo,Rojo,5,4.8,294,550
Man Utd,M,Nemanja,Matic,Matic,5,4.7,295,697
Man Utd,M,Paul,Pogba,Pogba,8,7.7,296,1740
