id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
7867,Robert Skov,Hoffenheim,-,1,1,0,5,0,-,-,2,0,0,0,1,4,-,-,-,14
7883,Marcus Ingvartsen,Union Berlin,3,1,2,0,3,-,-,2,0,0,1,-,-,0,1,0,-,13
7522,Nassim Boujellab,Schalke 04,-,4,-,-,-,-,-,-,0,1,4,2,2,-,-,-,-,13
9133,Youssoufa Moukoko,Borussia Dortmund,-,-,-,-,-,-,-,0,2,2,1,1,6,-,-,1,0,13
6708,Bote Baku,Wolfsburg,-,-,0,1,0,1,0,1,1,1,1,1,1,3,0,0,2,13
6096,Sergio Córdova,Arminia Bielefeld,2,0,3,-,1,0,0,-,-,0,0,1,2,2,1,1,-,13
6098,Niclas Füllkrug,Werder Bremen,3,5,1,4,0,-,-,-,-,-,-,-,-,0,0,-,-,13
8146,Ismail Jakobs,FC Cologne,-,-,-,1,2,4,0,1,2,1,1,1,-,-,0,0,-,13
8824,Jude Bellingham,Borussia Dortmund,0,2,1,0,-,3,1,1,-,0,1,0,0,-,-,3,0,12
315,Matthias Ginter,Borussia M.Gladbach,0,2,0,0,2,0,0,0,1,0,2,1,0,2,1,0,1,12
5235,Aymen Barkok,Eintracht Frankfurt,1,1,0,1,0,0,0,2,-,2,0,3,0,0,0,2,-,12
7289,Amin Younes,Eintracht Frankfurt,-,-,-,3,0,1,0,-,-,-,0,1,3,3,0,1,-,12
8813,Tanguy Coulibaly,VfB Stuttgart,-,0,0,0,1,1,1,3,1,0,4,0,0,0,1,0,-,12
6496,Ermedin Demirovic,Freiburg,-,0,-,0,0,0,-,0,1,4,0,1,1,1,3,1,-,12
4243,Christian Günter,Freiburg,0,3,0,3,2,0,0,2,0,2,0,0,0,0,0,0,-,12
171,Michael Gregoritsch,Augsburg,2,0,1,0,1,2,1,0,1,0,0,0,4,0,0,0,-,12
3059,Axel Witsel,Borussia Dortmund,1,1,2,0,0,0,2,0,3,2,0,0,1,0,0,-,-,12
7813,Jeremiah St. Juste,Mainz 05,1,2,0,0,1,1,1,1,2,1,0,0,1,0,0,-,-,11
4280,Davie Selke,Werder Bremen,3,0,0,0,-,-,-,-,0,1,-,-,-,5,0,0,2,11
7876,Christopher Lenz,Union Berlin,2,1,1,2,1,1,0,0,1,1,0,1,0,0,0,0,-,11
2640,Erik Durm,Eintracht Frankfurt,-,-,-,-,-,-,-,0,2,2,1,1,1,0,2,2,-,11
300,Daniel Didavi,VfB Stuttgart,3,1,0,0,2,-,0,2,-,-,-,0,0,-,2,1,-,11
9160,Matthew Hoppe,Schalke 04,-,-,-,-,-,-,-,-,2,1,-,0,-,1,6,1,-,11
43,Danny Latza,Mainz 05,2,0,0,0,1,1,0,-,-,-,2,0,0,2,1,2,0,11
