id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,total
183,Jonathan Tah,Bayer Leverkusen,-,0.0,-,-,-,0.171,-,0.0959,0.0166,0.7988,0.6461,0.0306,0.0228,0.0612,0.0899,0.1828,0.6315,0.1006,0.3101,3.1579
8813,Tanguy Coulibaly,VfB Stuttgart,-,0.3353,0.0,0.0,0.0,0.054,0.0,0.1182,0.0,0.0376,0.4282,0.7307,0.0,0.0,0.0,0.1094,0.6524,0.6261,0.0,3.0919
227,Robert Lewandowski,Bayern Munich,0.072,0.0,0.0824,0.0448,0.7046,-,0.1305,0.2888,0.0,0.4276,0.157,0.0317,0.0215,0.6318,0.1266,0.0768,0.0328,0.0712,0.1608,3.0609
421,Lars Bender,Bayer Leverkusen,0.12,0.0469,-,0.2374,0.0585,0.0924,0.6333,0.0959,0.0166,0.7151,0.4448,-,-,-,0.0703,-,0.3992,0.1002,-,3.0306
7883,Marcus Ingvartsen,Union Berlin,0.4717,0.092,0.6349,0.1065,0.054,-,-,0.0,0.5721,0.0571,0.0,-,-,0.1231,0.2076,0.0536,0.0291,0.4869,0.1315,3.0201
956,Andrej Kramaric,Hoffenheim,0.4577,0.1249,0.0174,-,-,-,-,0.0,0.4341,0.3909,0.0,0.5148,0.3536,0.0,0.0232,0.0785,0.0,0.0366,0.5381,2.9698
6100,Felix Uduokhai,Augsburg,0.4852,0.0,0.0,0.0,0.1118,0.4763,0.083,0.0198,0.0,0.1029,0.3755,0.0,0.4771,0.6307,0.0,0.0,0.0497,0.0,0.1424,2.9544
52,Alexander Hack,Mainz 05,-,0.0,0.0,-,-,-,-,0.7315,1.0318,0.1514,0.1434,0.0,0.0,0.2355,0.5183,0.0769,0.0,-,-,2.8888
5292,Manuel Gulde,Freiburg,0.0,0.0,0.0,-,-,-,0.0,-,0.0783,0.5126,0.1165,0.7768,0.0319,0.1112,0.1198,0.0564,0.3547,0.6721,0.0,2.8303
27,Vladimir Darida,Hertha Berlin,0.7466,0.0,0.1221,0.0633,0.5405,0.2412,0.0938,0.2145,0.0152,0.0,0.0,-,0.0631,0.0575,0.1124,0.0,0.107,0.4525,0.0,2.8297
64,Filip Kostic,Eintracht Frankfurt,0.152,0.0,-,-,-,-,0.0,0.0,0.0641,0.3739,0.1171,0.0307,0.5451,0.3417,0.0228,0.2726,0.1644,0.1998,0.5437,2.8279
5235,Aymen Barkok,Eintracht Frankfurt,0.1349,0.0,0.0,0.0,0.0,0.9472,0.8516,0.0,-,0.021,0.0,0.0181,0.0586,0.0,0.1271,0.1029,0.0,-,0.5618,2.8232
157,Daniel Caligiuri,Augsburg,0.2866,0.109,0.7384,0.0,0.0349,0.062,0.1356,0.0185,0.0175,0.0,0.0363,0.073,0.3241,0.7384,0.0258,0.0,0.0493,0.1022,0.0615,2.8131
5221,Leon Bailey,Bayer Leverkusen,-,0.0,0.0,0.2374,0.4464,0.0258,0.23,0.1254,0.0455,0.0497,0.0932,0.5195,0.1067,0.0796,0.161,0.1406,0.4704,0.0,0.0354,2.7666
6170,André Silva,Eintracht Frankfurt,0.0745,0.0,0.1091,0.1604,0.0931,0.5131,0.3651,0.0,0.6613,0.021,-,0.0181,0.1273,0.0965,0.0669,0.0,0.0,0.4094,0.0461,2.7619
8065,Iago,Augsburg,0.0,0.0,0.7087,-,0.1076,0.9617,0.0657,0.0378,0.0282,-,-,-,0.492,0.0,0.0297,-,0.1737,0.0906,0.0615,2.7572
69,Carlos Gruezo,Augsburg,0.0,0.0,0.733,0.0,0.1076,0.8248,0.0,-,0.0,0.1029,0.0363,0.0906,0.0,0.6307,0.0615,0.0,0.0171,0.0906,0.0615,2.7566
5356,Breel Embolo,Borussia M.Gladbach,-,-,0.0,0.5508,0.4366,0.0,0.0541,0.0,0.6152,0.6726,0.059,0.0785,0.0649,0.0113,0.1113,0.0319,-,0.0,0.0,2.6862
4336,Raphael Framberger,Augsburg,0.5107,0.0,0.7384,0.0,0.1669,0.0361,-,0.0185,-,0.0,0.6371,0.0503,0.5159,-,-,-,-,-,-,2.6739
3603,Corentin Tolisso,Bayern Munich,0.2165,0.2031,0.2145,0.4328,-,-,0.0783,-,0.0645,-,0.0,0.5933,0.2189,0.6493,-,0.0,0.0,-,-,2.6712
5241,Péter Gulácsi,RasenBallsport Leipzig,0.3645,0.0898,0.5045,0.0552,0.0601,0.1193,0.0,0.0,0.1751,0.0,0.0189,0.4148,0.0107,0.1998,0.0444,0.0,0.6085,0.0,0.0,2.6656
3743,Lucas Tousart,Hertha Berlin,1.0135,0.4203,0.1221,0.0401,0.0,0.0681,-,-,-,0.0,0.0,0.0,-,0.3925,0.257,0.0943,0.0952,0.0945,0.0673,2.6649
307,Suat Serdar,Schalke 04,0.0744,-,0.0,-,-,-,-,0.0661,0.0915,0.1463,0.3767,0.1442,0.0182,0.0542,0.9908,0.0288,0.0637,0.6034,-,2.6583
7109,Leandro Barreiro Martins,Mainz 05,0.0,0.1238,-,-,0.0,-,0.9959,0.0859,0.0,0.11,-,0.1376,0.0,0.606,0.5183,0.0,0.0637,0.0,-,2.6412
73,Oliver Baumann,Hoffenheim,0.4065,0.3444,0.2488,0.1013,-,0.1236,0.1146,0.0,0.7117,0.2107,0.0,0.0,0.0,0.0,0.3446,0.0342,0.0,0.0,0.0,2.6404
285,Bastian Oczipka,Schalke 04,0.0,0.3776,0.0397,0.0893,0.0,0.0,0.2468,0.4657,-,0.0731,0.4207,0.2393,0.0193,0.1145,0.0,0.0,0.0,0.5104,-,2.5964
2665,Jeffrey Gouweleeuw,Augsburg,0.4852,0.0,0.7087,0.0,0.0196,0.3653,0.1356,0.3821,0.0175,0.0,0.0863,0.2054,0.0984,0.0,-,0.0,0.0729,0.0,0.0131,2.5901
5989,Moussa Niakhate,Mainz 05,0.0,0.1763,-,0.0,0.0596,0.0216,0.0974,1.0133,0.3747,0.1387,0.1263,0.0,0.0,-,0.5183,0.0,0.0,0.0,0.0543,2.5805
281,Lukas Hradecky,Bayer Leverkusen,0.0,0.0,0.1163,0.0759,0.0867,0.1863,0.23,0.2867,0.0,0.0628,0.0432,0.5195,0.0,0.0,0.1084,0.1637,0.3156,0.0651,0.3101,2.5703
5358,Lukas Klostermann,RasenBallsport Leipzig,0.6554,0.0,0.075,0.0829,-,-,-,-,-,-,-,-,-,0.106,0.328,0.6546,0.6567,-,0.0,2.5586
5242,Stefan Ilsanker,Eintracht Frankfurt,0.0444,0.1299,1.027,0.1151,0.0,0.0769,0.0,0.0391,0.7886,0.0,0.1237,0.0,0.0663,-,0.0,-,-,0.1341,-,2.5451
7052,Wout Weghorst,Wolfsburg,0.0,0.0,0.0647,0.0,0.0351,0.0,0.0475,0.8854,0.7117,0.0203,0.0,0.0483,0.0,0.1363,0.5513,0.0,0.0,0.0,0.0379,2.5385
81,Jonathan Schmid,Freiburg,0.3477,0.0203,0.0099,0.3424,0.0465,0.7429,0.0327,0.2805,0.0977,0.0591,0.0865,0.0,0.2189,0.0,-,-,-,0.0911,0.1249,2.5011
208,Lars Stindl,Borussia M.Gladbach,0.3143,0.1385,0.0554,0.0,0.0,0.0,0.0,0.2528,0.0,0.9749,0.059,0.0,0.0237,0.5649,0.0619,0.0526,0.0,0.0,0.0,2.498
7267,Woo-Yeong Jeong,Freiburg,0.5671,0.0,0.0099,0.0189,0.0,0.0125,0.0327,-,-,-,0.0,0.0662,0.2296,-,0.5662,-,0.0326,0.7632,0.1924,2.4913
5288,Gregor Kobel,VfB Stuttgart,0.3887,0.0,0.0,0.0,0.0234,0.0248,0.1582,0.0877,0.0155,0.0,0.0,0.0,0.5573,0.0,0.5384,0.0794,0.1275,0.4338,0.0422,2.4769
1277,Roland Sallai,Freiburg,1.2157,0.0203,0.017,0.1652,0.0563,0.7121,0.0675,0.0822,-,0.0,0.0,0.0,0.0,0.0,0.0626,0.0564,0.0,-,-,2.4553
7075,Borna Sosa,VfB Stuttgart,-,0.3741,0.0,-,-,0.0,0.6556,0.0,0.0,0.1457,0.0997,0.0943,0.596,0.0323,0.1496,0.1839,0.0472,-,0.0691,2.4475
316,Gonzalo Castro,VfB Stuttgart,0.1367,0.0917,0.1477,0.594,0.085,0.185,0.2348,0.1707,0.1189,0.0318,-,0.1027,0.0,0.0,0.4354,0.0072,-,0.0184,0.0691,2.4291
8260,Erling Haaland,Borussia Dortmund,0.0212,0.0499,0.0,0.0,0.4823,-,0.0432,0.1341,0.3002,-,-,-,-,0.0,1.1361,0.0196,0.0,0.1696,0.0636,2.4198
8171,Hannes Wolf,Borussia M.Gladbach,0.0,0.0,0.0,0.0,0.0,0.0,0.4646,0.0586,0.0858,0.6727,0.6353,0.0,0.0,0.0,0.0,0.1151,0.0468,0.2621,0.0698,2.4108
2627,Jannes Horn,FC Cologne,1.1838,0.1491,0.0,0.0,0.1123,0.0,0.0,-,0.0,0.0312,0.4229,0.0,0.0,-,0.0,0.0,0.1178,0.3837,0.0,2.4008
6271,Ihlas Bebou,Hoffenheim,0.0,0.0822,0.0174,0.0843,-,-,0.0566,0.0,0.0663,0.049,0.4264,0.0,0.573,0.0154,0.6716,0.1102,0.0,0.1498,0.0728,2.375
9076,Philipp Förster,VfB Stuttgart,-,-,-,-,-,0.0,-,0.0,0.3718,0.0,0.6484,0.0943,-,0.4183,0.2433,-,0.1156,-,0.483,2.3747
2456,Omar Mascarell,Schalke 04,-,0.0746,0.0397,0.0421,0.0,0.0761,0.4085,0.4666,0.042,0.1463,0.8101,0.1275,0.0,0.132,-,-,0.0,-,0.0,2.3655
4340,Grischa Prömel,Union Berlin,0.0512,0.1371,0.6468,0.1282,-,-,-,0.0488,0.032,0.0434,0.1322,0.2667,0.0472,0.6247,-,0.0868,-,0.1039,-,2.349
