id,name,team,1,2,3,4,5,6,7,8,9,10,11,total
2655,Alfred Finnbogason,Augsburg,1,0,0,-,-,1,2,1,-,-,-,5
8876,Dimitris Limnios,FC Cologne,-,1,0,-,1,0,2,1,-,-,-,5
5992,Marcus Thuram,Borussia M.Gladbach,0,0,0,1,0,0,2,0,1,1,-,5
7065,Florian Neuhaus,Borussia M.Gladbach,0,0,0,0,0,0,0,0,2,3,-,5
96,Salif Sané,Schalke 04,-,1,0,1,0,1,2,-,-,-,-,5
391,David Alaba,Bayern Munich,-,1,0,0,0,0,0,4,0,0,-,5
48,Jhon Córdoba,Hertha Berlin,0,0,0,3,0,2,0,-,-,-,-,5
7879,Marius Bülter,Union Berlin,4,1,0,0,0,0,-,-,0,0,-,5
1673,Edimilson Fernandes,Mainz 05,-,-,-,0,0,0,2,1,1,1,-,5
7074,Nicolás González,VfB Stuttgart,-,-,-,0,0,1,3,1,-,-,-,5
7876,Christopher Lenz,Union Berlin,1,1,0,1,0,1,1,0,0,0,-,5
7059,Benito Raman,Schalke 04,0,0,-,1,0,0,2,1,1,0,-,5
6484,Renato Steffen,Wolfsburg,1,0,-,0,0,0,1,1,0,2,-,5
110,Theodor Gebre Selassie,Werder Bremen,0,0,0,0,1,3,1,0,0,0,-,5
5248,Marcel Sabitzer,RasenBallsport Leipzig,-,-,-,-,0,1,3,0,0,1,-,5
8813,Tanguy Coulibaly,VfB Stuttgart,-,0,0,2,0,1,0,1,0,1,-,5
4468,Dedryck Boyata,Hertha Berlin,0,0,0,0,0,2,1,1,1,0,-,5
42,Julian Baumgartlinger,Bayer Leverkusen,0,-,0,0,1,1,0,0,3,0,-,5
4247,Maximilian Philipp,Wolfsburg,-,-,-,1,0,1,2,0,0,0,1,5
2645,Marcel Hartel,Arminia Bielefeld,1,1,1,1,0,1,0,0,0,0,-,5
125,Maximilian Eggestein,Werder Bremen,1,0,1,0,0,1,0,0,1,1,-,5
5329,Stefan Posch,Hoffenheim,-,1,0,0,2,0,-,1,1,0,-,5
188,Kevin Kampl,RasenBallsport Leipzig,1,1,0,-,1,0,2,0,0,0,-,5
