id,name,team,1,2,3,total
64,Filip Kostic,Eintracht Frankfurt,0.2457,0.0,-,0.2457
110,Theodor Gebre Selassie,Werder Bremen,0.0,0.1239,0.1202,0.2441
3349,Ramy Bensebaini,Borussia M.Gladbach,0.0809,0.1019,0.0554,0.2382
4280,Davie Selke,Werder Bremen,0.1666,0.0,0.0611,0.2277
88,Mark Uth,Schalke 04,0.0,0.084,0.1387,0.2227
8805,Deyovaisio Zeefuik,Hertha Berlin,0.13,0.0686,0.0219,0.2205
5298,Arne Maier,Hertha Berlin,0.13,0.0686,-,0.1986
217,Manuel Neuer,Bayern Munich,0.1699,0.027,0.0,0.1969
43,Danny Latza,Mainz 05,0.0,0.1464,0.046,0.1924
8406,Can Bozdogan,Schalke 04,-,-,0.1914,0.1914
6484,Renato Steffen,Wolfsburg,0.1705,0.0201,-,0.1906
7789,Dominick Drexler,FC Cologne,0.122,0.0665,0.0,0.1885
7813,Jeremiah St. Juste,Mainz 05,0.0,0.1837,0.0,0.1837
311,Sven Bender,Bayer Leverkusen,0.0,0.0662,0.1163,0.1825
2638,Alessandro Schöpf,Schalke 04,0.0,-,0.1783,0.1783
5989,Moussa Niakhate,Mainz 05,0.0,0.1763,-,0.1763
129,Dominique Heintz,Freiburg,0.1567,0.0,0.0099,0.1666
8791,Ritsu Doan,Arminia Bielefeld,0.1131,0.0155,0.0351,0.1637
8789,Manuel Prietl,Arminia Bielefeld,0.0371,0.0156,0.1067,0.1594
6045,Davy Klaassen,Werder Bremen,0.0,0.1565,0.0,0.1565
7439,Tahith Chong,Werder Bremen,0.0547,0.0,0.101,0.1557
185,Wendell,Bayer Leverkusen,0.0,-,0.1521,0.1521
409,Philipp Klement,VfB Stuttgart,0.1499,0.0,0.0,0.1499
5262,Alexander Schwolow,Hertha Berlin,0.0684,0.0583,0.0219,0.1486
5340,Marco Friedl,Werder Bremen,0.0102,0.0,0.1378,0.148
263,Marwin Hitz,Borussia Dortmund,-,-,0.1471,0.1471
8875,Tolu Arokodare,FC Cologne,-,0.1449,0.0,0.1449
249,Danny da Costa,Eintracht Frankfurt,0.1343,0.0,-,0.1343
45,Yunus Malli,Wolfsburg,-,0.1343,-,0.1343
8786,Stefan Ortega Moreno,Arminia Bielefeld,0.0767,0.0567,0.0,0.1334
2456,Omar Mascarell,Schalke 04,-,0.0922,0.0397,0.1319
8317,Edmond Tapsoba,Bayer Leverkusen,0.0,0.0,0.1299,0.1299
7109,Leandro Barreiro Martins,Mainz 05,0.0,0.1238,-,0.1238
5328,Florian Müller,Freiburg,0.1225,0.0,0.0,0.1225
3286,Kevin Trapp,Eintracht Frankfurt,0.122,0.0,0.0,0.122
6082,Jiri Pavlenka,Werder Bremen,0.0786,0.0,0.0399,0.1185
8793,Fabian Kunze,Arminia Bielefeld,0.1174,0.0,-,0.1174
7899,Daley Sinkgraven,Bayer Leverkusen,0.0269,0.0904,0.0,0.1173
90,Sebastian Rudy,Schalke 04,0.0333,0.0839,-,0.1172
281,Lukas Hradecky,Bayer Leverkusen,0.0,0.0,0.1163,0.1163
7108,Jonathan Burkardt,Mainz 05,0.0511,0.0,0.0634,0.1145
2691,Milos Veljkovic,Werder Bremen,-,0.0668,0.0477,0.1145
290,Mijat Gacinovic,Hoffenheim,0.0937,0.0,0.0174,0.1111
60,Christian Gentner,Union Berlin,0.109,-,-,0.109
8876,Dimitris Limnios,FC Cologne,-,0.1086,0.0,0.1086
269,Dominik Kohr,Eintracht Frankfurt,0.1077,-,-,0.1077
6148,Michaël Cuisance,Bayern Munich,0.1076,-,-,0.1076
359,Timothy Chandler,Eintracht Frankfurt,0.0,-,0.107,0.107
5654,Baptiste Santamaria,Freiburg,-,0.0654,0.0394,0.1048
8396,Jessic Ngankam,Hertha Berlin,-,-,0.1001,0.1001
1236,Patrik Schick,Bayer Leverkusen,0.0,0.0988,0.0,0.0988
350,Felix Klaus,Wolfsburg,0.0,0.098,-,0.098
426,Daniel Ginczek,Wolfsburg,-,0.098,0.0,0.098
127,Timo Horn,FC Cologne,0.0904,0.0,0.0,0.0904
1936,Niklas Moisander,Werder Bremen,0.0888,-,0.0,0.0888
307,Suat Serdar,Schalke 04,0.0744,-,0.0093,0.0837
5294,Salih Özcan,FC Cologne,0.0822,0.0,-,0.0822
8801,Sebastian Griesbeck,Union Berlin,0.078,0.0,0.0,0.078
7113,Santiago Arias,Bayer Leverkusen,-,-,0.0767,0.0767
23,Marvin Plattenhardt,Hertha Berlin,-,0.0754,-,0.0754
5717,Amine Harit,Schalke 04,0.0744,-,-,0.0744
7394,Rabbi Matondo,Schalke 04,0.0744,-,-,0.0744
7059,Benito Raman,Schalke 04,0.0453,0.0279,-,0.0732
140,Yannick Gerhardt,Wolfsburg,0.0,0.0199,0.0513,0.0712
176,Sven Schipplock,Arminia Bielefeld,0.0374,0.0156,0.0175,0.0705
3290,Benjamin Stambouli,Schalke 04,0.0412,0.0279,0.0,0.0691
2611,Philipp Lienhart,Freiburg,0.0,0.0496,0.0099,0.0595
8117,Nick Woltemade,Werder Bremen,0.0591,-,-,0.0591
7815,Christian Groß,Werder Bremen,-,0.0178,0.0399,0.0577
3834,Ishak Belfodil,Hoffenheim,0.0,-,0.056,0.056
118,Levin Öztunali,Mainz 05,0.0,0.0525,-,0.0525
914,Nabil Bentaleb,Schalke 04,0.0,0.0119,0.0397,0.0516
138,Frederik Sörensen,FC Cologne,0.0,0.0383,0.0,0.0383
8810,Hamadi Al Ghaddioui,VfB Stuttgart,0.0356,0.0,-,0.0356
7524,Tuta,Eintracht Frankfurt,-,-,0.0281,0.0281
7376,Ozan Kabak,Schalke 04,0.0,0.0279,-,0.0279
8845,Hee-Chan Hwang,RasenBallsport Leipzig,0.0,0.0279,-,0.0279
6531,Alexander Sørloth,RasenBallsport Leipzig,-,0.0,0.0257,0.0257
8796,Christian Gebauer,Arminia Bielefeld,0.0249,-,-,0.0249
6722,Konstantinos Mavropanos,VfB Stuttgart,-,-,0.0241,0.0241
6084,Johannes Eggestein,Werder Bremen,-,0.0178,0.0,0.0178
8811,Alkhaly Momo Cissé,VfB Stuttgart,0.016,-,-,0.016
159,Koen Casteels,Wolfsburg,0.0,-,0.0159,0.0159
7056,Niko Gießelmann,Union Berlin,0.0151,-,-,0.0151
7885,Joshua Mees,Union Berlin,0.0151,-,-,0.0151
7401,Keven Schlotterbeck,Freiburg,-,-,0.0099,0.0099
5219,Aleksandar Dragovic,Bayer Leverkusen,-,0.0084,-,0.0084
7026,Joshua Brenet,Hoffenheim,0.0067,-,-,0.0067
8962,Joscha Wosz,RasenBallsport Leipzig,-,-,0.0,0.0
