id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,total
5353,Josip Brekalo,Wolfsburg,0,1,0,0,-,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,-,0,-,-,1,0,3
8191,Giovanni Reyna,Borussia Dortmund,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,-,0,0,0,0,0,0,0,-,0,0,3
5989,Moussa Niakhate,Mainz 05,0,0,-,0,0,0,0,0,0,0,0,0,0,-,0,0,0,2,0,1,0,0,0,0,0,0,3
306,Florian Niederlechner,Augsburg,0,0,0,0,0,-,0,0,0,0,0,-,0,0,0,0,0,2,0,0,0,1,0,0,-,0,3
7058,Kevin Stöger,Mainz 05,-,-,-,-,-,0,-,-,0,1,0,0,0,0,0,0,-,0,0,-,1,1,0,0,0,0,3
319,Marco Reus,Borussia Dortmund,0,0,0,1,0,0,1,0,0,-,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-,3
373,Mats Hummels,Borussia Dortmund,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
3455,Raphael Guerreiro,Borussia Dortmund,-,0,0,0,0,0,0,1,-,-,0,1,0,0,0,0,0,0,0,0,0,1,0,-,-,-,3
9133,Youssoufa Moukoko,Borussia Dortmund,-,-,-,-,-,-,-,0,0,0,0,0,1,-,-,0,0,0,-,1,0,0,-,-,1,0,3
6357,Marco Richter,Augsburg,-,-,-,0,0,-,0,0,0,0,1,0,0,0,1,-,0,0,0,0,0,0,0,0,1,0,3
153,Maximilian Arnold,Wolfsburg,0,0,0,0,1,-,0,0,0,1,0,0,-,0,0,-,0,0,0,0,0,1,0,0,0,0,3
316,Gonzalo Castro,VfB Stuttgart,0,0,0,1,0,0,1,0,0,0,-,0,0,0,1,0,-,0,0,-,-,0,0,-,0,0,3
300,Daniel Didavi,VfB Stuttgart,0,1,0,0,0,-,0,0,-,-,-,0,0,-,1,0,0,0,-,-,0,-,1,-,-,0,3
6228,Luka Jovic,Eintracht Frankfurt,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,0,1,0,0,0,0,0,0,0,0,3
212,Nico Elvedi,Borussia M.Gladbach,0,0,0,0,0,0,0,0,-,-,0,0,0,0,0,0,1,2,0,-,0,0,0,0,0,0,3
3310,Alassane Pléa,Borussia M.Gladbach,0,0,1,-,0,0,0,-,0,1,0,0,-,0,-,0,0,0,1,0,0,0,0,0,0,0,3
5356,Breel Embolo,Borussia M.Gladbach,-,-,0,0,0,0,0,0,0,1,1,0,0,1,0,0,-,0,0,0,0,0,0,0,0,0,3
4280,Davie Selke,Werder Bremen,1,0,0,0,-,-,-,-,0,1,-,-,-,0,0,0,0,1,-,0,-,-,0,0,-,0,3
7289,Amin Younes,Eintracht Frankfurt,-,-,-,0,0,0,0,-,-,-,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,-,3
1275,Robin Quaison,Mainz 05,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,-,-,-,-,0,1,0,3
8792,Fabian Klos,Arminia Bielefeld,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3
6475,Lucas Höler,Freiburg,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,3
6522,Cedric Teuchert,Union Berlin,0,0,-,-,-,1,1,0,-,0,0,0,0,0,0,1,0,0,0,0,0,-,0,-,-,0,3
6556,Moussa Diaby,Bayer Leverkusen,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,-,0,0,-,3
5273,Kerem Demirbay,Bayer Leverkusen,0,1,0,0,-,0,-,0,0,-,-,0,0,0,0,0,0,0,0,2,0,0,-,0,0,0,3
7882,Sheraldo Becker,Union Berlin,0,0,0,0,0,-,1,0,0,0,0,0,0,1,1,0,-,0,-,-,-,-,-,-,-,-,3
7267,Woo-Yeong Jeong,Freiburg,0,0,0,0,0,0,0,-,-,-,1,0,0,-,0,-,0,1,0,1,0,0,0,0,0,-,3
5659,Nordi Mukiele,RasenBallsport Leipzig,0,0,0,0,0,-,0,-,0,0,0,0,0,-,-,1,0,0,0,1,0,1,0,0,0,0,3
