id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,total
6108,Rodrigo Bentancur,Juventus,0,0,1,-,0,0,0,0,2,0,1,3,0,4,0,1,-,12
6208,Antonin Barak,Verona,1,3,1,-,0,1,0,1,0,2,1,0,-,-,1,0,1,12
6986,Hamed Junior Traore,Sassuolo,-,0,0,0,0,0,0,0,0,0,-,2,1,4,1,1,3,12
2244,Danilo,Juventus,0,1,0,1,1,0,0,0,0,-,0,1,3,3,0,1,-,11
1488,Remo Freuler,Atalanta,2,0,0,-,-,1,1,-,0,0,1,1,1,3,0,1,-,11
5996,Adrien Tameze,Verona,1,1,1,1,1,1,0,0,1,0,1,0,0,0,1,0,2,11
1241,Pedro Pereira,Crotone,-,2,1,0,1,0,0,0,2,0,1,0,0,2,1,0,1,11
8883,Riccardo Improta,Benevento,1,-,0,0,0,0,0,3,0,1,5,0,0,0,1,0,0,11
1406,Marco Sau,Benevento,1,-,1,1,0,-,0,1,0,1,1,-,0,0,2,3,0,11
9065,Nahuel Estévez,Spezia,-,-,-,-,0,0,4,1,0,1,1,1,-,0,2,-,1,11
222,Arturo Vidal,Inter,1,0,0,2,1,0,0,1,0,2,-,-,0,2,0,0,2,11
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,0,0,1,0,0,0,3,0,0,1,3,0,2,0,1,11
1123,Juraj Kucka,Parma Calcio 1913,1,1,1,1,2,0,0,0,2,-,-,1,0,1,1,-,-,11
5509,Hernani,Parma Calcio 1913,1,1,1,0,1,1,0,-,0,0,1,1,2,0,1,0,0,10
1489,Franck Kessié,AC Milan,0,1,1,1,0,1,1,2,1,0,0,0,1,-,1,0,0,10
8252,Nicolás Domínguez,Bologna,1,-,-,0,-,0,0,2,0,2,0,1,2,0,0,-,2,10
7953,Nahitan Nández,Cagliari,0,1,1,3,1,2,0,-,-,-,0,1,1,0,0,0,-,10
7939,Morten Thorsby,Sampdoria,1,0,1,1,1,1,0,1,3,0,0,-,0,1,0,0,0,10
4943,Emanuel Vignato,Bologna,0,-,1,-,1,0,1,0,0,2,0,0,2,1,0,0,2,10
646,Christian Eriksen,Inter,2,0,-,0,0,3,-,-,0,0,2,-,-,-,-,3,-,10
7909,Gaetano Castrovilli,Fiorentina,0,0,2,0,1,0,0,0,1,2,1,1,0,0,1,1,-,10
1099,Tomás Rincón,Torino,0,1,2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,10
8911,Matteo Ricci,Spezia,3,1,0,1,-,0,1,1,1,1,0,0,1,0,-,-,-,10
2040,Paolo Ghiglione,Genoa,3,0,1,0,-,1,0,0,1,0,-,2,0,0,-,2,0,10
5954,Eldor Shomurodov,Genoa,-,-,1,0,-,-,-,0,2,0,0,0,1,-,1,1,3,9
6180,Manuel Lazzari,Lazio,1,1,1,-,1,-,0,1,0,0,1,0,0,0,1,0,2,9
7933,Jerdy Schouten,Bologna,1,1,1,0,2,1,0,1,1,1,-,-,0,0,0,0,0,9
1362,Simy,Crotone,0,0,4,1,0,0,0,1,0,1,0,0,1,0,0,0,1,9
1634,Alessandro Deiola,Spezia,1,0,-,2,-,-,-,0,2,1,-,0,2,1,0,0,-,9
8838,Junior Messias,Crotone,0,0,1,1,1,0,1,1,1,0,0,0,0,0,2,1,0,9
7472,Wilfried Stephane Singo,Torino,-,-,1,0,0,1,0,0,3,1,0,0,-,1,0,0,2,9
5322,Victor Osimhen,Napoli,4,1,2,0,1,1,-,-,-,-,-,-,-,-,-,-,-,9
8034,Georgios Kyriakopoulos,Sassuolo,2,2,0,2,1,0,-,-,-,1,0,-,1,0,0,-,0,9
3978,Marco Faraoni,Verona,1,1,0,2,0,-,-,-,1,2,1,0,0,0,1,0,0,9
1741,Zlatan Ibrahimovic,AC Milan,1,-,-,2,2,1,1,2,-,-,-,-,-,-,-,-,0,9
1134,Mario Pasalic,Atalanta,0,0,6,0,1,1,0,1,-,-,-,-,-,-,-,-,-,9
1468,Gregoire Defrel,Sassuolo,1,0,2,-,-,0,0,-,-,-,-,1,2,-,2,1,0,9
5700,Yann Karamoh,Parma Calcio 1913,0,1,2,1,0,-,1,0,0,0,0,0,1,2,1,0,-,9
557,Matteo Darmian,Inter,-,-,-,-,1,0,1,-,2,0,3,0,0,-,2,-,0,9
7927,Sofyan Amrabat,Fiorentina,-,0,3,0,1,2,0,0,0,0,0,0,1,0,1,0,1,9
1826,Nicola Sansone,Bologna,1,3,0,0,2,-,-,0,3,-,-,-,-,-,-,-,-,9
7938,Tommaso Augello,Sampdoria,1,2,1,1,1,0,0,-,0,0,0,0,1,2,0,0,0,9
1972,Gaetano Letizia,Benevento,1,1,0,0,0,2,0,0,1,0,2,1,0,0,1,-,-,9
4937,Miha Zajc,Genoa,1,0,-,0,0,2,1,1,0,-,-,-,-,1,1,0,1,8
3739,Soualiho Meité,Torino,0,1,0,0,1,1,0,3,1,0,0,0,1,0,-,-,-,8
1272,Ilija Nestorovski,Udinese,0,1,0,-,-,-,-,-,-,2,1,0,0,1,3,0,-,8
6421,Brahim Diaz,AC Milan,0,1,2,-,-,0,1,-,0,1,0,1,0,-,0,1,1,8
1390,Marko Rog,Cagliari,1,0,2,0,0,0,3,0,0,0,0,1,1,0,-,-,-,8
1142,Samir,Udinese,1,0,0,1,1,0,0,0,1,0,0,1,1,1,1,0,-,8
1229,Luis Muriel,Atalanta,1,0,0,0,-,0,1,-,0,0,1,2,2,0,1,0,-,8
8916,Simone Bastoni,Spezia,-,-,-,1,1,2,0,0,1,1,1,-,1,-,-,-,-,8
3772,Maxime Lopez,Sassuolo,-,-,-,1,1,2,1,0,1,0,0,-,2,-,0,-,0,8
6980,Francesco Caputo,Sassuolo,1,1,0,2,0,-,0,-,-,-,-,0,1,1,0,2,0,8
7413,Ibañez,Roma,2,0,1,1,0,2,1,0,1,0,0,0,0,0,0,0,0,8
