id,name,team,1,2,3,4,total
1093,Mattia Perin,Genoa,0.4981,-,0.14,-,0.6381
1098,Miguel Veloso,Verona,0.3787,0.2567,-,-,0.6354
6464,Adrien Silva,Sampdoria,-,-,-,0.629,0.629
6750,Gonzalo Villar,Roma,0.0,-,0.0,0.6287,0.6287
3772,Maxime Lopez,Sassuolo,-,-,-,0.6185,0.6185
6942,Arthur,Juventus,-,0.6015,0.0157,-,0.6172
393,Douglas Costa,Juventus,0.0,0.6015,-,-,0.6015
8914,Salvador Ferrer,Spezia,0.1273,0.4273,-,0.036,0.5906
1241,Pedro Pereira,Crotone,-,0.0433,0.108,0.4217,0.573
7095,Juan Musso,Udinese,0.0,0.5725,0.0,-,0.5725
6517,Charalampos Lykogiannis,Cagliari,0.206,0.0308,0.2349,0.0969,0.5686
952,Gastón Ramírez,Sampdoria,0.1044,0.0386,0.4136,0.0,0.5566
1956,Mohamed Fares,Lazio,-,-,0.5013,0.0501,0.5514
1567,Bruno Peres,Roma,-,0.0371,-,0.5109,0.548
1264,Edoardo Goldaniga,Genoa,0.5386,0.0,0.0,-,0.5386
347,Kaan Ayhan,Sassuolo,0.0,0.0838,0.0,0.4498,0.5336
2005,Jacopo Dezi,Parma Calcio 1913,0.0495,0.4821,-,-,0.5316
1476,Cristian Dell'Orco,Spezia,0.5143,-,-,0.0163,0.5306
1214,Thomas Strakosha,Lazio,0.069,0.0581,0.3924,0.0069,0.5264
8161,Ebrima Colley,Verona,-,0.1135,0.0,0.412,0.5255
1473,Matteo Politano,Napoli,0.0427,0.1076,0.361,-,0.5113
1133,Cristian Zapata,Genoa,0.5071,-,0.0,-,0.5071
9018,M'Bala Nzola,Spezia,-,-,-,0.5067,0.5067
3893,Lukas Haraslin,Sassuolo,0.5002,-,-,-,0.5002
1927,Berat Gjimshiti,Atalanta,-,0.2147,0.2112,0.0712,0.4971
1146,Jakub Jankto,Sampdoria,0.0456,0.0279,-,0.4208,0.4943
1400,Nicola Murru,Torino,-,0.4918,0.0,-,0.4918
4920,Matteo Gabbia,AC Milan,0.1785,0.0221,0.2849,-,0.4855
7912,Eljif Elmas,Napoli,0.037,0.4437,-,-,0.4807
1390,Marko Rog,Cagliari,0.206,0.0841,0.0839,0.1059,0.4799
1207,Marco Parolo,Lazio,0.0,-,0.4494,0.0264,0.4758
1193,Lorenzo De Silvestri,Bologna,0.0738,0.0,0.3692,0.0309,0.4739
1958,Mattia Zaccagni,Verona,0.0278,0.4414,0.0,0.0,0.4692
646,Christian Eriksen,Inter,0.3999,0.0,-,0.0597,0.4596
2044,Daniele Verde,Spezia,-,0.0306,0.1071,0.3134,0.4511
6672,Riccardo Sottil,Cagliari,0.0,0.0599,0.1941,0.1919,0.4459
6375,Andrea Danzi,Verona,0.4374,-,-,-,0.4374
5360,Weston McKennie,Juventus,0.4111,0.0212,-,-,0.4323
7092,Koray Günter,Verona,0.3787,0.0,0.047,-,0.4257
8963,Nahuel Molina,Udinese,-,-,0.423,-,0.423
8881,Lorenzo Montipò,Benevento,0.0367,0.0,0.0294,0.3554,0.4215
7625,Manolo Portanova,Juventus,-,-,0.4214,-,0.4214
1394,Lorenzo Tonelli,Sampdoria,0.0,0.0,0.0,0.4208,0.4208
1634,Alessandro Deiola,Spezia,0.0412,0.0771,-,0.2995,0.4178
1461,Pol Lirola,Fiorentina,0.0922,0.0248,-,0.2939,0.4109
1096,Armando Izzo,Torino,0.4089,-,-,-,0.4089
