id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,total
6176,Adam Marusic,Lazio,90,90,34,44,41,-,90,43,40,90,90,90,90,90,90,90,86,90,1278
1543,Sergej Milinkovic-Savic,Lazio,71,71,90,90,-,90,90,-,-,74,90,90,85,78,83,90,90,90,1272
1710,Marten de Roon,Atalanta,90,33,90,90,64,-,-,90,90,90,90,90,90,90,90,90,90,-,1267
7006,Lautaro Martínez,Inter,90,24,81,90,72,90,74,23,81,19,17,79,90,90,90,90,79,88,1267
5996,Adrien Tameze,Verona,70,90,90,82,53,90,27,90,90,54,70,28,74,90,90,85,90,-,1263
1399,Bruno Alves,Parma Calcio 1913,90,90,90,-,-,-,90,90,90,90,90,90,90,90,90,90,90,-,1260
1119,Alessio Romagnoli,AC Milan,-,-,-,90,90,90,-,90,90,90,90,90,90,90,90,90,90,90,1260
4941,Hans Hateboer,Atalanta,90,90,90,-,29,68,90,-,90,90,90,90,90,90,83,90,88,-,1258
1193,Lorenzo De Silvestri,Bologna,90,90,81,67,90,90,90,90,90,90,90,90,63,-,46,-,-,90,1247
6362,Rick Karsdorp,Roma,75,-,-,-,66,72,90,90,90,90,90,43,90,90,90,90,90,90,1246
594,Romelu Lukaku,Inter,90,66,90,90,90,-,16,90,9,71,90,90,82,90,76,24,90,90,1244
1136,Gianluca Lapadula,Benevento,14,26,76,86,65,75,90,10,75,88,90,71,80,72,90,79,58,90,1235
1972,Gaetano Letizia,Benevento,90,54,90,90,90,90,77,68,90,90,90,90,90,90,38,-,-,-,1227
7999,Hirving Lozano,Napoli,84,68,90,59,66,76,59,69,79,43,90,74,26,90,90,90,64,-,1217
6517,Charalampos Lykogiannis,Cagliari,90,87,90,90,81,90,90,-,-,7,90,85,90,80,66,-,90,90,1216
7084,Dusan Vlahovic,Fiorentina,8,27,90,73,67,33,-,90,79,80,72,76,90,76,72,90,84,90,1197
1146,Jakub Jankto,Sampdoria,90,90,-,68,90,84,79,19,47,49,80,77,90,83,90,78,82,-,1196
1253,Edin Dzeko,Roma,-,90,90,89,90,90,-,-,73,87,83,60,90,80,88,4,90,90,1194
1500,Leonardo Spinazzola,Roma,90,90,90,90,90,90,13,79,90,90,90,72,69,-,-,-,75,73,1191
1123,Juraj Kucka,Parma Calcio 1913,90,82,90,90,90,90,90,62,90,-,-,90,60,90,86,-,-,90,1190
6208,Antonin Barak,Verona,20,90,60,-,26,90,90,90,90,90,90,90,-,-,90,90,90,90,1186
2371,Cristiano Ronaldo,Juventus,90,90,-,-,32,78,90,-,90,90,90,82,90,90,90,90,90,-,1182
1223,Milan Skriniar,Inter,-,90,81,-,-,-,90,23,90,90,90,90,90,90,90,84,90,90,1178
1390,Marko Rog,Cagliari,78,90,90,90,90,90,90,90,90,90,90,90,88,15,-,-,-,-,1171
1244,Wojciech Szczesny,Juventus,90,90,-,90,-,90,-,90,90,90,90,-,90,90,90,90,90,-,1170
6021,Lukas Lerager,Genoa,87,72,-,-,86,90,83,90,70,90,90,90,90,63,15,90,16,44,1166
1511,Marcelo Brozovic,Inter,77,24,15,70,90,29,90,-,-,90,90,69,68,90,90,90,90,90,1162
8029,Lisandro Magallán,Crotone,90,90,90,90,90,90,90,90,62,-,74,-,80,26,19,90,-,90,1161
1927,Berat Gjimshiti,Atalanta,-,47,90,43,90,90,90,-,90,90,90,90,90,77,90,-,90,-,1157
1488,Remo Freuler,Atalanta,90,90,16,-,-,90,90,-,90,90,90,90,85,90,67,87,90,-,1155
5509,Hernani,Parma Calcio 1913,90,90,65,81,53,90,55,-,26,90,90,17,90,77,61,90,90,-,1155
3842,Claudio Terzi,Spezia,-,66,-,90,90,90,90,77,64,90,90,-,90,44,-,90,90,90,1151
1394,Lorenzo Tonelli,Sampdoria,46,90,90,90,90,90,90,-,43,90,-,90,90,90,90,71,-,-,1150
1393,Lorenzo Insigne,Napoli,90,22,-,89,-,83,90,90,80,90,74,-,90,90,90,90,81,-,1149
845,Maya Yoshida,Sampdoria,44,-,90,90,90,90,90,90,47,-,90,-,1,75,82,90,90,90,1149
5197,Achraf Hakimi,Inter,23,90,90,90,32,80,7,90,1,71,37,11,82,90,90,90,84,90,1148
1484,Rafael Toloi,Atalanta,90,90,-,90,43,90,73,90,90,90,-,90,35,-,90,90,90,-,1141
3989,Salvatore Molina,Crotone,90,86,90,88,62,-,-,-,90,90,90,90,48,90,86,90,47,-,1137
1230,Fabio Quagliarella,Sampdoria,44,85,90,79,67,66,79,90,84,90,90,-,28,90,80,-,8,62,1132
6672,Riccardo Sottil,Cagliari,12,79,78,85,74,64,42,43,90,90,69,85,79,10,69,41,88,33,1131
1376,Kalidou Koulibaly,Napoli,90,90,90,90,90,90,90,90,85,90,90,55,-,-,-,-,90,-,1130
1643,Luca Marrone,Crotone,90,90,90,90,-,90,90,90,49,90,90,90,90,-,90,-,-,-,1129
1537,Sasa Lukic,Torino,18,25,90,90,90,90,90,-,-,14,43,47,90,90,90,81,90,90,1128
1943,Gervinho,Parma Calcio 1913,-,70,90,90,90,76,80,62,90,90,90,73,46,-,-,-,90,90,1127
6155,Robin Gosens,Atalanta,86,90,74,82,43,-,-,90,-,82,90,90,86,77,67,73,90,-,1120
2447,Fabián,Napoli,84,90,84,89,90,90,90,90,-,47,14,90,18,90,83,70,-,-,1119
1542,Stefan Radu,Lazio,89,59,15,-,-,-,56,90,90,90,90,80,90,90,90,12,90,85,1116
4733,José Luis Palomino,Atalanta,43,90,85,47,90,17,-,90,90,15,90,41,55,90,90,90,90,-,1113
7953,Nahitan Nández,Cagliari,90,90,90,90,90,90,90,-,-,-,21,90,90,90,90,88,-,-,1099
1942,Martín Cáceres,Fiorentina,90,90,90,90,90,90,90,-,62,90,-,75,-,90,72,-,76,-,1095
4699,Simon Kjaer,AC Milan,73,90,90,90,90,90,90,90,90,-,-,-,-,-,84,81,90,46,1094
9018,M'Bala Nzola,Spezia,-,-,-,34,82,90,90,90,90,90,-,90,82,90,90,90,83,-,1091
1485,Andrea Masiello,Genoa,-,90,90,-,-,-,72,90,-,90,90,90,90,90,90,59,90,56,1087
329,Franck Ribéry,Fiorentina,82,85,-,87,-,82,90,43,70,80,31,90,87,83,90,37,-,48,1085
1148,Duván Zapata,Atalanta,86,83,65,47,43,44,73,69,64,82,74,75,24,84,42,73,57,-,1085
7937,Julian Chabot,Spezia,1,90,90,90,90,76,44,13,26,90,90,90,-,46,68,-,90,90,1084
1374,José Reina,Lazio,-,-,-,-,90,90,90,90,-,90,90,90,90,90,90,-,90,90,1080
3429,Tiemoué Bakayoko,Napoli,-,-,76,75,90,90,68,-,80,30,76,64,72,88,77,90,90,-,1066
1170,Gianluca Caprari,Benevento,76,90,65,90,54,73,-,-,75,70,79,81,80,83,84,11,-,51,1062
7096,Omar Colley,Sampdoria,90,90,-,-,-,-,-,90,-,71,90,90,90,90,90,90,90,90,1061
6108,Rodrigo Bentancur,Juventus,12,20,90,-,64,90,4,25,90,90,90,90,90,90,74,51,90,-,1060
1102,Giovanni Simeone,Cagliari,90,80,90,77,81,71,88,82,-,-,1,43,11,80,84,19,82,80,1059
1395,Vlad Chiriches,Sassuolo,90,85,33,90,90,89,-,90,41,-,-,90,-,90,90,-,90,90,1058
2143,Germán Pezzella,Fiorentina,-,-,-,72,37,-,-,90,90,90,90,90,90,90,90,90,37,90,1046
8911,Matteo Ricci,Spezia,90,90,62,90,-,90,84,90,85,90,90,9,90,84,-,-,-,-,1044
1517,Antonio Candreva,Sampdoria,-,60,70,79,-,16,83,90,90,90,90,-,1,15,90,90,88,90,1042
1430,Milan Badelj,Genoa,69,66,80,61,73,90,7,90,82,-,-,-,-,90,90,60,90,90,1038
1617,Roberto Insigne,Benevento,82,47,-,40,78,71,90,42,27,80,44,61,75,62,85,75,32,39,1030
4907,Bartosz Bereszynski,Sampdoria,90,90,90,90,90,90,90,90,90,19,-,-,-,-,-,19,90,90,1028
1320,Federico Barba,Benevento,-,36,-,-,-,-,13,90,90,90,76,90,90,90,90,90,90,90,1025
1386,Piotr Zielinski,Napoli,88,75,-,-,11,14,31,80,71,78,76,90,90,78,77,90,75,-,1024
687,Pedro,Roma,90,90,83,82,90,72,90,80,90,39,-,29,77,65,-,-,-,42,1019
6989,Simone Iacoponi,Parma Calcio 1913,90,77,-,90,90,90,-,5,16,90,90,90,60,43,90,-,-,90,1011
8859,Mikkel Damsgaard,Sampdoria,20,-,70,22,74,74,48,90,43,41,10,90,90,75,27,90,82,62,1008
8883,Riccardo Improta,Benevento,30,-,14,11,25,19,42,85,90,87,90,29,90,72,52,90,90,78,994
