id,name,team,1,2,total
1804,Álvaro Morata,Juventus,-,0,0
1576,Giorgio Chiellini,Juventus,0,0,0
1244,Wojciech Szczesny,Juventus,0,0,0
1120,Mattia De Sciglio,Juventus,0,-,0
1089,Juan Cuadrado,Juventus,0,0,0
393,Douglas Costa,Juventus,0,0,0
6691,Dejan Kulusevski,Juventus,0,0,0
1287,Leonardo Bonucci,Juventus,0,0,0
8942,Aaron Hickey,Bologna,-,0,0
8252,Nicolás Domínguez,Bologna,0,-,0
7933,Jerdy Schouten,Bologna,0,0,0
1463,Francesco Acerbi,Lazio,0,-,0
1219,Luis Alberto,Lazio,0,-,0
1214,Thomas Strakosha,Lazio,0,-,0
1207,Marco Parolo,Lazio,0,-,0
677,Jordan Veretout,Roma,0,0,0
8828,Ivan Ilic,Verona,0,-,0
8827,Kevin Rüegg,Verona,0,-,0
8522,Matteo Lovato,Verona,0,0,0
8161,Ebrima Colley,Verona,-,0,0
8035,Samuel Di Carmine,Verona,0,0,0
8007,Yildirim Mert Cetin,Verona,0,0,0
7929,Alan Empereur,Verona,0,-,0
7923,Pawel Dawidowicz,Verona,-,0,0
7092,Koray Günter,Verona,0,0,0
6375,Andrea Danzi,Verona,0,-,0
6208,Antonin Barak,Verona,0,0,0
6132,Marco Silvestri,Verona,0,0,0
5996,Adrien Tameze,Verona,0,0,0
2042,Lubomir Tupta,Verona,0,-,0
1958,Mattia Zaccagni,Verona,0,0,0
1324,Federico Dimarco,Verona,0,0,0
687,Pedro,Roma,0,0,0
1168,Bryan Cristante,Roma,0,-,0
1253,Edin Dzeko,Roma,-,0,0
6750,Gonzalo Villar,Roma,0,-,0
1206,Danilo Cataldi,Lazio,0,-,0
1204,Patric,Lazio,0,-,0
475,Lucas Leiva,Lazio,0,-,0
6180,Manuel Lazzari,Lazio,0,-,0
1209,Ciro Immobile,Lazio,0,-,0
7413,Ibañez,Roma,0,0,0
6963,Justin Kluivert,Roma,0,-,0
6362,Rick Karsdorp,Roma,0,-,0
1380,Amadou Diawara,Roma,0,0,0
6324,Marash Kumbulla,Roma,-,0,0
6159,Gianluca Mancini,Roma,0,0,0
1609,Antonio Mirante,Roma,0,0,0
1567,Bruno Peres,Roma,-,0,0
1509,Davide Santon,Roma,0,0,0
1500,Leonardo Spinazzola,Roma,0,0,0
1471,Lorenzo Pellegrini,Roma,0,0,0
1030,Fernando Forestieri,Udinese,0,-,0
1142,Samir,Udinese,0,-,0
1145,Rodrigo de Paul,Udinese,0,-,0
7938,Tommaso Augello,Sampdoria,0,0,0
8034,Georgios Kyriakopoulos,Sassuolo,0,0,0
7950,Mert Müldür,Sassuolo,0,0,0
6986,Hamed Junior Traore,Sassuolo,-,0,0
6312,Rogerio,Sassuolo,0,-,0
3893,Lukas Haraslin,Sassuolo,0,-,0
1470,Federico Ricci,Sassuolo,-,0,0
1460,Andrea Consigli,Sassuolo,0,0,0
1395,Vlad Chiriches,Sassuolo,0,0,0
1122,Manuel Locatelli,Sassuolo,0,0,0
542,Pedro Obiang,Sassuolo,0,0,0
347,Kaan Ayhan,Sassuolo,0,0,0
257,Jeremy Toljan,Sassuolo,0,0,0
7003,Mehdi Bourabia,Sassuolo,0,0,0
1612,Domenico Berardi,Sassuolo,0,0,0
1468,Gregoire Defrel,Sassuolo,0,0,0
1233,Filip Djuricic,Sassuolo,0,0,0
8859,Mikkel Damsgaard,Sampdoria,0,-,0
7999,Hirving Lozano,Napoli,0,0,0
1393,Lorenzo Insigne,Napoli,0,0,0
