id,name,team,1,2,3,4,5,6,total
1253,Edin Dzeko,Roma,-,0.1092,0.0559,0.0248,0.0727,0.0976,0.3602
1264,Edoardo Goldaniga,Genoa,0.3423,0.0,0.0,0.0,0.0,-,0.3423
1148,Duván Zapata,Atalanta,0.0661,0.0,0.1888,0.0,0.0569,0.0303,0.3421
1741,Zlatan Ibrahimovic,AC Milan,0.0193,-,-,0.1817,0.0655,0.0691,0.3356
2303,Samu Castillejo,AC Milan,0.0,0.0,-,0.334,0.0,-,0.334
6182,Pasquale Schiattarella,Benevento,0.0,0.3014,0.0,0.0,0.0171,0.0,0.3185
3429,Tiemoué Bakayoko,Napoli,-,-,0.0225,0.2944,0.0,-,0.3169
1238,Luca Cigarini,Crotone,0.1034,0.0086,0.0906,0.0191,0.0895,-,0.3112
1410,Rafael,Spezia,-,0.3084,0.0,-,-,-,0.3084
594,Romelu Lukaku,Inter,0.0,0.0,0.0888,0.1618,0.0531,-,0.3037
2547,Theo Hernández,AC Milan,0.1062,0.0,0.1435,0.0,0.0,0.0508,0.3005
1504,Alberto Grassi,Parma Calcio 1913,0.0,0.0,0.0,0.0,0.2996,0.0,0.2996
646,Christian Eriksen,Inter,0.1714,0.0,-,0.0,0.0,0.1264,0.2978
6208,Antonin Barak,Verona,0.0122,0.2204,0.0589,-,0.0,0.0061,0.2976
8859,Mikkel Damsgaard,Sampdoria,0.0,-,0.0258,0.0,0.0989,0.1708,0.2955
6021,Lukas Lerager,Genoa,0.0,0.0,-,-,0.2918,-,0.2918
1574,Davide Calabria,AC Milan,0.0935,0.0,0.1782,0.0,0.0,0.0155,0.2872
475,Lucas Leiva,Lazio,0.0,0.0,0.2144,0.0,0.0,0.069,0.2834
1302,Emil Audero,Sampdoria,0.0,0.0,0.2709,0.0,0.0,0.0,0.2709
8910,Paolo Bartolomei,Spezia,0.0162,0.0,0.0,-,0.0409,0.211,0.2681
7939,Morten Thorsby,Sampdoria,0.053,0.0,0.1063,0.0056,0.0207,0.0794,0.265
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,0.0,0.0,0.2647,0.0,0.2647
4941,Hans Hateboer,Atalanta,0.1041,0.0995,0.0155,-,0.0,0.0426,0.2617
1241,Pedro Pereira,Crotone,-,0.0611,0.0745,0.0,0.1161,0.0,0.2517
8856,Razvan Marin,Cagliari,0.0,0.0178,0.0418,0.0,0.1897,0.0,0.2493
7500,Giacomo Raspadori,Sassuolo,-,-,-,0.0589,0.165,0.0248,0.2487
7218,Cristian Romero,Atalanta,-,0.0,0.0,0.2442,-,0.0,0.2442
2447,Fabián,Napoli,0.041,0.047,0.0384,0.0701,0.0471,-,0.2436
7933,Jerdy Schouten,Bologna,0.0497,0.0362,0.0441,0.0,0.0938,0.0176,0.2414
1209,Ciro Immobile,Lazio,0.0958,0.0581,0.0575,-,0.0262,0.0,0.2376
1393,Lorenzo Insigne,Napoli,0.1533,0.0,-,0.0799,-,-,0.2332
1903,Kevin Lasagna,Udinese,0.0506,0.0882,0.0267,0.0617,0.0,0.0,0.2272
1230,Fabio Quagliarella,Sampdoria,0.0118,0.0,0.1537,0.0,0.0,0.0592,0.2247
3842,Claudio Terzi,Spezia,-,0.0,-,0.2246,0.0,0.0,0.2246
1140,Danilo,Bologna,0.1749,0.0,0.0,0.0,0.0,0.0479,0.2228
257,Jeremy Toljan,Sassuolo,0.1117,0.11,0.0,-,-,-,0.2217
1468,Gregoire Defrel,Sassuolo,0.033,0.0,0.188,-,-,0.0,0.221
1493,Andrea Petagna,Napoli,0.0,-,0.2142,0.0,0.0,-,0.2142
1386,Piotr Zielinski,Napoli,0.0,0.1962,-,-,0.0163,-,0.2125
8916,Simone Bastoni,Spezia,-,-,-,0.0458,0.0905,0.075,0.2113
1204,Patric,Lazio,0.0,0.0,0.0,0.0069,0.0,0.203,0.2099
7931,Takehiro Tomiyasu,Bologna,0.0,0.0,0.0558,0.1533,0.0,0.0,0.2091
6517,Charalampos Lykogiannis,Cagliari,0.0,0.0954,0.1107,0.0,0.0,0.0,0.2061
3893,Lukas Haraslin,Sassuolo,0.2057,-,-,-,-,-,0.2057
1461,Pol Lirola,Fiorentina,0.0922,0.0248,-,0.0337,0.0,0.0469,0.1976
3772,Maxime Lopez,Sassuolo,-,-,-,0.0767,0.0195,0.0967,0.1929
7927,Sofyan Amrabat,Fiorentina,-,0.0,0.1114,0.0,0.0196,0.0587,0.1897
1362,Simy,Crotone,0.0,0.0,0.1658,0.0233,0.0,0.0,0.1891
8828,Ivan Ilic,Verona,0.0,-,0.0,0.1714,0.0,0.0152,0.1866
1311,Rade Krunic,AC Milan,0.0,0.0,0.0855,0.0,0.0936,0.0,0.1791
1400,Nicola Murru,Torino,-,0.1759,0.0,-,-,-,0.1759
7411,Nicolo Rovella,Genoa,-,-,0.0745,0.0,0.0981,-,0.1726
2371,Cristiano Ronaldo,Juventus,0.1701,0.0,-,-,0.0,-,0.1701
8838,Junior Messias,Crotone,0.0,0.0,0.0299,0.0577,0.0768,0.0,0.1644
1168,Bryan Cristante,Roma,0.0,-,0.0,0.1608,0.0,0.0,0.1608
6464,Adrien Silva,Sampdoria,-,-,-,0.0233,-,0.1342,0.1575
8161,Ebrima Colley,Verona,-,0.0729,0.0,0.0822,0.0,0.0,0.1551
8909,Juan Ramos,Spezia,0.1526,0.0,-,-,-,-,0.1526
1537,Sasa Lukic,Torino,0.0329,0.0,0.0898,0.0,0.0266,-,0.1493
4903,Mamadou Coulibaly,Udinese,0.1432,0.0,0.0,-,-,-,0.1432
1624,Fabio Depaoli,Sampdoria,0.0,0.0764,-,-,0.0623,-,0.1387
1723,Roberto Pereyra,Udinese,-,-,0.0,0.0,0.0,0.1374,0.1374
3209,Jean-Daniel Akpa-Akpro,Lazio,0.0,0.0,0.0542,-,0.0,0.0803,0.1345
2005,Jacopo Dezi,Parma Calcio 1913,0.0,0.1333,-,-,-,-,0.1333
1484,Rafael Toloi,Atalanta,0.0,0.0,-,0.0165,0.0,0.1153,0.1318
1341,Ivan Radovanovic,Genoa,0.1305,0.0,0.0,0.0,0.0,-,0.1305
1106,Darko Lazovic,Verona,-,-,0.0,0.0,0.1279,0.0,0.1279
411,Albin Ekdal,Sampdoria,0.0,0.0279,0.0712,0.0,0.0,0.0275,0.1266
5015,Giacomo Vrioni,Juventus,-,-,-,0.1248,-,-,0.1248
4348,Tolgay Arslan,Udinese,0.0,-,0.0,0.1223,0.0,0.0,0.1223
4699,Simon Kjaer,AC Milan,0.0,0.0828,0.0,0.0,0.0,0.0376,0.1204
4912,Paolo Faragò,Cagliari,0.1187,0.0,0.0,-,0.0,0.0,0.1187
1102,Giovanni Simeone,Cagliari,0.0,0.0,0.0922,0.0,0.0249,0.0,0.1171
1605,Diego Farias,Spezia,0.0999,0.0,-,0.0,-,0.017,0.1169
6277,Fabrizio Caligara,Cagliari,0.0,0.1149,0.0,0.0,-,-,0.1149
677,Jordan Veretout,Roma,0.0919,0.0,0.0,0.0,0.0,0.0218,0.1137
1997,Andrea Favilli,Verona,-,0.0,0.0,0.112,0.0,-,0.112
4768,Wylan Cyprien,Parma Calcio 1913,-,-,-,0.0,0.1108,0.0,0.1108
7934,Andreas Skov Olsen,Bologna,0.0225,0.0,0.0854,-,-,-,0.1079
6421,Brahim Diaz,AC Milan,0.0,0.0221,0.0857,-,-,0.0,0.1078
7950,Mert Müldür,Sassuolo,0.0,0.0838,0.0,0.0,0.0,0.0233,0.1071
1229,Luis Muriel,Atalanta,0.1035,0.0,0.0,0.0,-,0.0,0.1035
1395,Vlad Chiriches,Sassuolo,0.0,0.0,0.0,0.0746,0.0235,0.0,0.0981
7091,Christian Kouamé,Fiorentina,0.0312,0.0501,0.0156,0.0,0.0,0.0,0.0969
7958,Sandro Tonali,AC Milan,0.0,0.0931,0.0,0.0,-,0.0,0.0931
6169,Giovanni Crociata,Crotone,-,-,-,-,0.092,-,0.092
7084,Dusan Vlahovic,Fiorentina,0.0,0.0,0.0906,0.0,0.0,0.0,0.0906
1166,Ahmed Benali,Crotone,-,-,-,-,0.089,0.0,0.089
1624,Fabio Depaoli,Atalanta,-,-,-,0.0262,0.0623,-,0.0885
9002,Vedat Muriqi,Lazio,-,-,-,0.0884,0.0,0.0,0.0884
8029,Lisandro Magallán,Crotone,0.0883,0.0,0.0,0.0,0.0,0.0,0.0883
7375,Roberto Piccoli,Spezia,-,-,0.0731,0.0138,0.0,-,0.0869
1390,Marko Rog,Cagliari,0.0286,0.0,0.0555,0.0,0.0,0.0,0.0841
6362,Rick Karsdorp,Roma,0.0841,-,-,-,0.0,0.0,0.0841
8010,Kevin Agudelo,Spezia,0.0,-,0.0,0.0,0.0826,0.0,0.0826
3739,Soualiho Meité,Torino,0.0,0.042,0.0,0.0,0.0394,-,0.0814
8944,Giulio Maggiore,Spezia,-,0.0306,0.0502,-,-,-,0.0808
1193,Lorenzo De Silvestri,Bologna,0.0,0.0703,0.0,0.0,0.0099,0.0,0.0802
