id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,total
5197,Achraf Hakimi,Inter,0,2,2,1,0,3,0,0,0,3,1,1,1,1,1,0,2,1,2,2,1,1,0,25
7193,Rafael Leão,AC Milan,-,1,3,1,0,0,4,-,-,-,0,0,2,2,2,3,1,-,0,3,3,0,0,25
1445,Simone Verdi,Torino,0,0,2,4,2,0,0,1,2,-,-,-,2,1,3,1,2,1,0,0,2,2,-,25
1943,Gervinho,Parma Calcio 1913,-,1,2,0,1,2,0,0,7,1,0,1,0,-,-,-,1,2,2,1,1,3,-,25
1210,Keita,Sampdoria,-,-,-,2,0,2,-,-,-,-,-,-,-,4,-,2,1,2,3,1,4,3,0,24
1809,Joaquín Correa,Lazio,0,-,2,2,1,0,3,3,2,-,0,1,-,1,-,-,-,-,4,2,1,1,1,24
6672,Riccardo Sottil,Cagliari,0,1,1,4,1,0,3,0,3,1,2,2,1,0,4,1,0,0,0,0,-,-,-,24
8944,Giulio Maggiore,Spezia,-,0,0,-,-,-,-,1,5,2,1,1,0,2,0,2,0,0,0,3,4,3,0,24
1493,Andrea Petagna,Napoli,0,-,0,1,0,0,1,0,3,2,3,2,0,5,3,1,0,0,0,2,0,-,-,23
7909,Gaetano Castrovilli,Fiorentina,3,1,2,1,2,1,1,0,0,0,0,2,1,1,3,2,-,0,1,0,-,1,1,23
7014,Arkadiusz Reca,Crotone,-,0,1,1,0,1,0,4,1,1,1,0,1,1,0,2,1,-,3,3,-,0,2,23
448,Ivan Perisic,Inter,3,1,1,2,1,4,0,0,1,0,2,-,0,0,1,2,0,-,0,1,2,0,2,23
1958,Mattia Zaccagni,Verona,1,1,0,0,1,2,1,2,1,1,1,1,1,0,3,1,1,1,2,0,0,-,2,23
1324,Federico Dimarco,Verona,1,0,0,0,-,1,1,1,1,2,1,0,1,2,0,1,2,0,1,1,1,5,-,22
1146,Jakub Jankto,Sampdoria,1,2,-,0,3,1,2,0,0,0,2,1,2,3,0,2,1,-,0,0,1,0,1,22
1492,Jasmin Kurtic,Parma Calcio 1913,-,-,3,1,1,1,0,0,0,1,1,3,0,2,3,0,2,1,1,2,0,0,-,22
8883,Riccardo Improta,Benevento,0,-,0,1,0,0,0,2,2,1,7,2,1,0,3,2,0,0,1,0,0,-,-,22
4941,Hans Hateboer,Atalanta,2,1,1,-,0,0,1,-,2,3,2,0,1,3,1,3,1,0,1,-,-,-,-,22
5954,Eldor Shomurodov,Genoa,-,-,0,0,-,-,-,0,3,0,0,2,2,-,3,3,1,2,3,1,-,0,1,21
1164,Cristiano Biraghi,Fiorentina,0,1,1,1,0,1,2,1,0,2,0,2,0,0,-,0,1,1,2,1,1,1,3,21
1104,Leonardo Pavoletti,Cagliari,-,1,1,0,2,2,1,0,1,7,2,-,0,0,0,2,0,1,-,0,1,0,0,21
6176,Adam Marusic,Lazio,1,3,0,0,1,-,2,0,1,0,1,0,0,1,1,3,2,0,2,1,0,1,1,21
5360,Weston McKennie,Juventus,3,0,-,-,0,0,0,-,1,3,1,1,1,0,2,0,1,5,0,0,1,2,-,21
1852,Ante Rebic,AC Milan,0,0,-,-,-,1,1,1,0,5,3,1,-,4,0,-,-,-,0,2,2,-,1,21
222,Arturo Vidal,Inter,1,2,0,0,1,2,2,0,1,0,-,-,0,2,0,0,4,4,2,0,0,-,0,21
8913,Emmanuel Gyasi,Spezia,2,0,0,0,2,0,2,2,1,1,0,1,0,1,0,1,0,1,0,1,3,2,0,20
1484,Rafael Toloi,Atalanta,0,1,-,1,0,1,0,1,5,1,-,0,0,-,0,3,2,4,0,0,1,-,0,20
6156,Andreas Cornelius,Parma Calcio 1913,1,-,1,-,2,0,-,-,1,1,0,1,0,2,4,0,1,1,0,1,0,2,2,20
2252,Borja Mayoral,Roma,-,-,-,0,-,-,1,1,0,0,2,1,-,1,0,3,0,0,4,3,0,2,2,20
2447,Fabián,Napoli,4,2,0,3,1,0,2,1,-,0,0,1,0,4,1,1,-,-,-,-,0,0,-,20
504,Aaron Ramsey,Juventus,0,1,-,0,0,-,-,1,1,-,-,1,0,4,2,4,0,0,1,-,-,5,-,20
1251,Radja Nainggolan,Cagliari,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,1,3,3,2,0,2,3,19
1500,Leonardo Spinazzola,Roma,3,2,0,1,0,1,0,1,1,2,1,1,1,-,-,-,0,0,1,2,2,0,0,19
9065,Nahuel Estévez,Spezia,-,-,-,-,2,1,1,0,2,3,1,1,-,1,0,-,2,2,0,0,-,3,0,19
1826,Nicola Sansone,Bologna,1,1,1,1,2,-,-,0,2,-,-,-,-,-,-,-,-,0,3,2,2,4,0,19
8856,Razvan Marin,Cagliari,0,0,1,1,0,0,1,1,0,3,0,0,1,1,0,1,2,1,2,1,1,0,1,18
1511,Marcelo Brozovic,Inter,1,0,1,0,1,3,0,-,-,1,0,0,1,0,3,0,1,4,1,-,0,1,0,18
498,Alexis Sánchez,Inter,0,3,0,0,-,-,0,2,2,3,3,-,-,-,-,4,-,0,0,0,0,0,0,17
1605,Diego Farias,Spezia,1,0,-,2,-,2,-,2,3,1,2,0,0,0,0,0,0,0,3,1,0,-,-,17
6997,Ignacio Pussetto,Udinese,-,-,-,3,0,0,0,1,2,2,3,4,1,1,-,-,-,-,-,-,-,-,-,17
591,Gerard Deulofeu,Udinese,-,-,-,0,1,2,0,-,-,2,0,2,0,-,-,-,-,0,1,1,7,1,-,17
1577,Marko Pjaca,Genoa,1,0,-,0,1,2,1,-,0,2,0,0,2,0,2,0,0,2,0,1,-,1,2,17
6421,Brahim Diaz,AC Milan,0,5,4,-,-,0,0,-,1,1,3,0,0,-,1,0,0,0,2,-,-,-,-,17
1574,Davide Calabria,AC Milan,0,0,0,0,0,0,2,1,0,0,0,2,0,0,0,3,1,2,2,3,1,-,0,17
7953,Nahitan Nández,Cagliari,2,0,1,0,2,0,1,-,-,-,0,1,2,1,0,0,-,-,1,-,1,1,3,16
4943,Emanuel Vignato,Bologna,0,-,1,-,1,0,0,1,1,3,0,1,2,1,0,0,1,2,0,0,2,0,-,16
8034,Georgios Kyriakopoulos,Sassuolo,0,0,0,4,2,1,-,-,-,0,1,-,0,2,2,-,2,2,-,-,-,-,-,16
6174,Nikola Milenkovic,Fiorentina,1,1,1,2,1,0,0,0,1,2,0,1,1,0,1,-,0,0,2,0,-,2,0,16
8926,Milos Vulic,Crotone,-,0,1,1,0,1,1,0,4,1,1,-,0,1,0,0,1,1,0,-,0,0,3,16
1354,Gianmarco Ferrari,Sassuolo,2,0,0,3,1,0,2,0,1,0,0,-,1,0,0,0,1,2,1,1,0,-,1,16
1763,Stefano Okaka,Udinese,3,3,2,3,3,0,0,0,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,16
8161,Ebrima Colley,Verona,-,1,0,5,1,0,1,1,0,1,0,0,0,0,1,-,2,0,-,3,0,0,-,16
5509,Hernani,Parma Calcio 1913,0,3,1,2,0,0,1,-,0,3,1,0,2,0,0,0,1,-,0,1,0,-,1,16
7091,Christian Kouamé,Fiorentina,3,3,2,0,0,2,1,1,0,0,0,0,-,0,0,0,0,2,1,0,1,0,0,16
5700,Yann Karamoh,Parma Calcio 1913,0,1,1,1,3,-,0,1,1,0,2,0,0,3,1,0,-,-,0,-,-,1,1,16
6691,Dejan Kulusevski,Juventus,1,0,1,2,0,2,4,1,0,0,-,1,0,1,0,2,0,0,-,0,0,1,-,16
6960,Bremer,Torino,1,1,-,1,1,0,0,1,0,-,-,2,0,1,0,3,1,1,-,0,1,0,1,15
3544,Jeremie Boga,Sassuolo,-,-,-,-,1,1,0,2,1,0,0,2,0,3,2,2,0,-,0,1,0,-,-,15
1800,Kamil Glik,Benevento,0,2,0,0,1,1,0,0,0,1,0,1,0,0,1,1,1,3,2,0,0,0,1,15
8010,Kevin Agudelo,Spezia,2,-,1,1,1,0,1,-,0,1,1,2,0,-,1,0,0,-,-,0,0,3,1,15
1896,Riccardo Gagliolo,Parma Calcio 1913,-,-,0,0,4,1,0,0,0,0,0,2,2,0,1,0,-,-,0,0,2,2,1,15
3978,Marco Faraoni,Verona,0,1,1,1,0,-,-,-,0,1,0,1,0,0,1,1,1,1,2,0,2,-,1,14
5996,Adrien Tameze,Verona,1,2,0,1,0,0,0,2,0,2,3,1,0,0,0,1,0,-,0,0,1,0,0,14
