id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,total
6054,Ederson,Manchester City,0.0,0.0,0.0826,0.3497,0.0933,0.8361,0.0223,0.081,0.2762,0.1016,-,-,1.8428
8865,Ollie Watkins,Aston Villa,0.0193,0.5179,0.8739,0.0192,0.2317,0.0684,0.0,0.0184,0.0836,-,-,-,1.8324
3621,Neal Maupay,Brighton,0.0165,0.1408,0.6802,0.0,0.0522,0.0,-,0.4543,0.4693,0.0,0.0,-,1.8133
639,Toby Alderweireld,Tottenham,0.3147,-,-,-,0.0452,0.2427,0.2835,0.5611,0.3569,-,0.0,-,1.8041
111,Jannik Vestergaard,Southampton,0.0,-,0.5614,0.1712,0.116,0.263,0.0,0.1278,0.1071,0.04,0.4059,-,1.7924
697,Nemanja Matic,Manchester United,-,0.559,0.0219,0.0461,-,0.0436,-,0.6932,0.4109,-,-,-,1.7747
8020,Steven Alzate,Brighton,0.6624,0.1236,0.8903,0.0866,-,0.0,-,-,-,-,-,-,1.7629
7707,Enda Stevens,Sheffield United,0.7415,0.0,0.565,0.0094,0.0206,0.25,0.1747,0.0,-,-,-,-,1.7612
8288,Tomas Soucek,West Ham,0.202,0.478,0.0,0.1325,0.2105,0.1339,0.0,0.0316,0.0648,0.0,0.3795,0.1214,1.7542
7187,Sergio Reguilón,Tottenham,-,-,-,0.3985,0.0343,-,0.2835,0.8512,0.0,0.1287,0.0513,-,1.7475
835,Ryan Bertrand,Southampton,0.0,0.1879,0.6285,0.2319,0.1962,0.2841,0.0106,-,0.1752,0.0,0.0,-,1.7144
5549,Luka Milivojevic,Crystal Palace,0.0,0.0,-,0.0,0.0,0.3656,0.3555,-,-,-,0.9927,-,1.7138
5584,Aaron Wan-Bissaka,Manchester United,-,0.0166,0.0,0.2708,0.0207,0.1153,0.0513,0.1597,0.6832,0.3779,-,-,1.6955
314,Ilkay Gündogan,Manchester City,-,-,-,0.0,0.1074,0.0,0.7127,-,0.3875,0.4853,-,-,1.6929
2381,Rodrigo,Leeds,0.0732,0.0,0.5939,0.0172,0.0277,0.5397,-,-,0.3422,0.0,0.0,0.0965,1.6904
1823,Lucas Digne,Everton,0.3057,0.1035,0.7044,0.0538,0.0,0.1351,-,0.0436,0.3262,-,-,-,1.6723
1024,Tyrone Mings,Aston Villa,0.1006,0.1196,0.4334,0.3062,0.1588,0.0,0.2472,0.1089,0.1868,-,-,-,1.6615
1760,Arthur Masuaku,West Ham,-,0.0695,0.4718,0.4053,0.2105,0.0803,0.0,0.0915,0.3119,0.0,0.0187,-,1.6595
7703,John Egan,Sheffield United,0.0476,0.0,-,0.0079,0.4293,0.1706,0.5717,0.0,0.0205,0.3898,0.0105,-,1.6479
6854,Diogo Jota,Liverpool,-,-,0.0,0.4759,0.0446,0.3096,0.0472,0.0,0.6348,0.0774,0.0578,-,1.6473
7710,Oliver Norwood,Sheffield United,0.7679,-,0.0,-,0.4557,-,0.0,0.0,0.1965,0.2188,0.0,-,1.6389
489,James Milner,Liverpool,-,0.0,0.3836,0.0919,-,0.097,0.0,0.0,1.0643,0.0,-,-,1.6368
496,Mohamed Elneny,Arsenal,0.3469,-,0.6221,0.5406,-,-,0.0581,0.0678,-,-,-,-,1.6355
6850,Willy Boly,Wolverhampton Wanderers,0.0536,0.2745,0.0878,0.0173,0.0,0.2116,0.0534,0.0448,0.1927,0.6509,0.0305,-,1.6171
603,Nathaniel Clyne,Crystal Palace,-,-,-,-,-,0.1234,0.291,0.1571,0.1179,0.0356,0.883,-,1.608
884,Matt Targett,Aston Villa,0.1643,0.0357,0.0,0.3691,0.5716,0.0541,0.1776,0.1231,0.0965,-,-,-,1.592
745,Kasper Schmeichel,Leicester,0.0738,0.2908,0.0,0.0,0.071,0.2893,0.6961,0.0,0.0567,0.0,0.11,-,1.5877
8864,Matthew Cash,Aston Villa,0.0506,0.0691,0.2512,0.3062,0.0,0.0,0.7156,0.0689,0.1176,-,-,-,1.5792
7322,Bukayo Saka,Arsenal,-,0.9353,-,0.0,0.0469,0.186,0.0,0.2396,0.1154,0.0,0.0476,-,1.5708
772,Moussa Sissoko,Tottenham,0.0344,-,-,0.6125,0.694,0.0955,0.0152,0.0333,0.0,0.0,0.0513,-,1.5362
741,Jordan Pickford,Everton,0.147,0.1694,0.0,0.0,0.4288,0.0534,-,0.1406,0.0098,0.5101,0.0714,-,1.5305
7691,Jamal Lewis,Newcastle United,0.1249,0.4751,0.0,0.0,0.6514,0.0,0.0,0.0,0.1703,0.0983,-,-,1.52
7236,Leander Dendoncker,Wolverhampton Wanderers,0.0359,0.0,-,0.0173,0.0,0.151,0.5484,0.0,0.0764,0.6002,0.0642,-,1.4934
5543,Gabriel Jesus,Manchester City,0.5607,-,-,-,-,-,0.0,0.2598,0.2121,0.459,-,-,1.4916
8992,Hakim Ziyech,Chelsea,-,-,-,-,0.0,0.0,0.0427,0.2374,0.3595,0.387,0.4616,-,1.4882
971,Harry Winks,Tottenham,0.3339,0.0,1.1459,-,0.0,-,-,-,-,-,-,-,1.4798
4401,Emiliano Martinez,Aston Villa,0.0314,0.0,0.5329,0.3619,0.1263,0.0,0.3932,0.0,0.0314,-,-,-,1.4771
8300,Steven Bergwijn,Tottenham,0.0344,0.0935,0.0767,-,1.181,-,-,-,0.0,0.0,0.0705,-,1.4561
6817,Fred,Manchester United,-,0.0,0.0,0.0894,0.3192,0.0,0.2622,0.2594,0.5255,-,-,-,1.4557
8706,Eberechi Eze,Crystal Palace,0.0,0.0,0.0,0.0201,-,0.0,0.1587,0.0992,0.1081,0.0947,0.9539,-,1.4347
6044,Charlie Taylor,Burnley,0.6848,0.0619,0.0736,0.0675,0.1669,0.0,0.0,0.2868,0.0267,0.066,-,-,1.4342
635,Alex McCarthy,Southampton,0.4198,0.1208,0.0,0.1712,0.0781,0.0731,0.0,0.0754,0.4888,0.0,0.0,-,1.4272
775,Andros Townsend,Crystal Palace,0.0,0.1633,0.1253,0.0201,0.0,0.8708,0.0925,0.0662,0.0315,0.0498,-,-,1.4195
633,James McArthur,Crystal Palace,0.0,0.1215,0.0,0.0,0.0,-,-,0.4037,0.0217,0.0382,0.8329,-,1.418
6441,Ferrán Torres,Manchester City,0.0,0.0,0.0,-,-,0.0581,0.4648,0.4873,0.3985,-,-,-,1.4087
6851,Conor Coady,Wolverhampton Wanderers,0.0441,0.0715,0.0,0.0858,0.0,0.1502,0.1534,0.0252,-,0.7283,0.1466,-,1.4051
6665,Curtis Jones,Liverpool,0.1509,-,-,0.0707,-,-,0.0,-,0.9454,0.0,0.2298,-,1.3968
5681,Giovani Lo Celso,Tottenham,-,1.0452,0.0671,-,-,0.0648,0.0152,0.0178,0.0,0.0,0.1753,-,1.3854
200,Andreas Christensen,Chelsea,0.1294,0.0,1.0203,-,0.2287,-,-,-,-,-,-,-,1.3784
1389,Jorginho,Chelsea,0.2664,0.0125,-,0.2867,0.7073,0.0556,0.041,0.0,-,-,-,-,1.3695
7589,Wesley Fofana,Leicester,-,-,-,-,0.1479,0.2893,0.0,0.0,0.5302,0.1229,0.2745,-,1.3648
486,Adam Lallana,Brighton,0.4013,0.2696,0.3669,0.0,0.0932,0.0,0.0,0.2194,0.0,0.0,-,-,1.3504
8214,Tyrick Mitchell,Crystal Palace,0.0,0.3958,0.0,0.0201,0.0,0.9261,-,-,-,-,-,-,1.342
2383,André Gomes,Everton,0.2191,0.0363,0.4914,-,0.1007,-,0.0,-,-,0.0,0.4774,-,1.3249
554,Juan Mata,Manchester United,-,-,-,0.3539,0.0207,-,0.2218,0.0363,-,0.6916,-,-,1.3243
749,Christian Fuchs,Leicester,-,-,0.0,-,-,0.3723,0.6961,0.0,0.0,0.0,0.2559,-,1.3243
700,Willian,Arsenal,0.2562,0.3599,0.0,0.4609,0.0,-,0.0581,0.0443,0.0,0.0,0.1102,-,1.2896
833,Virgil van Dijk,Liverpool,0.2086,0.0928,0.705,0.2821,0.0,-,-,-,-,-,-,-,1.2885
8323,Josh Brownhill,Burnley,0.5509,0.0789,0.0397,0.0675,0.1594,0.324,0.0,0.0,-,0.066,-,-,1.2864
8780,Joël Veltman,Brighton,-,-,-,0.0313,-,0.0193,0.0,0.4837,0.5185,0.0461,0.1766,-,1.2755
8721,Jamie Shackleton,Leeds,0.0314,-,-,-,-,1.1097,0.0,-,-,-,-,0.1323,1.2734
7689,Ben Godfrey,Everton,-,-,-,-,0.0267,0.0697,-,-,0.7738,0.3489,0.0466,-,1.2657
1785,Nampalys Mendy,Leicester,0.0449,0.3702,0.0353,0.0,0.0956,0.3723,0.0,0.0267,0.131,0.0,0.1804,-,1.2564
8821,Donny van de Beek,Manchester United,0.0295,0.0,0.0,0.2166,-,0.0574,-,0.0,0.9494,0.0,-,-,1.2529
6062,Isaac Hayden,Newcastle United,0.3073,0.4751,0.0539,0.3176,0.0954,-,0.0,-,0.0,-,-,-,1.2493
5708,Fernando Marçal,Wolverhampton Wanderers,0.431,0.0,-,-,0.0,0.0,-,0.0252,-,0.692,0.0862,-,1.2344
4105,Raúl Jiménez,Wolverhampton Wanderers,0.0359,0.1202,0.0,0.0304,0.0228,0.0515,0.4634,0.0,0.509,0.0,-,-,1.2332
6893,Stuart Armstrong,Southampton,-,0.2009,0.0,0.1255,-,0.1577,0.0683,0.1695,0.3817,0.0893,0.0314,-,1.2243
6157,Timothy Castagne,Leicester,0.0449,0.222,0.4432,0.3022,0.196,0.0,-,-,-,-,-,-,1.2083
1234,Dennis Praet,Leicester,0.6339,0.3095,0.0,-,0.0,0.0193,0.0,0.0989,0.119,0.0195,0.0,-,1.2001
7701,Moussa Djenepo,Southampton,0.3524,0.107,0.5614,0.0,-,-,-,0.0,0.1752,0.0,0.0,-,1.196
239,Pascal Groß,Brighton,0.0,-,0.1465,0.0982,0.0215,0.0,0.0,0.6252,0.1368,0.069,0.0928,-,1.19
1749,Rob Holding,Arsenal,0.176,0.5282,0.0,-,-,-,0.0,0.2396,0.0,0.0569,0.1874,-,1.1881
553,Anthony Martial,Manchester United,0.0368,0.0,0.0,-,-,-,0.2444,0.7672,-,0.123,-,-,1.1714
2385,Mat Ryan,Brighton,0.0794,0.1402,0.0,0.0,0.1398,0.4067,-,0.0,0.3115,0.0,0.0928,-,1.1704
660,Ben Davies,Tottenham,0.4064,0.0935,0.4743,0.0,-,0.1902,0.0,-,-,0.0,0.0,-,1.1644
8026,Raphinha,Leeds,-,-,-,-,0.0,0.5442,-,0.0,0.1205,0.4872,0.0,0.0,1.1519
647,Harry Kane,Tottenham,0.0573,0.1217,0.0875,0.3985,0.0506,0.0,0.0152,0.4169,0.0,0.0,0.0,-,1.1477
5603,Aaron Ramsdale,Sheffield United,0.0476,0.0,0.0796,0.0,0.0379,0.2578,0.1747,0.0,0.0,0.5369,0.0,-,1.1345
1828,Alex Telles,Manchester United,-,-,-,-,-,-,-,0.1597,0.3957,0.5784,-,-,1.1338
7698,Leandro Trossard,Brighton,0.0355,0.0,0.4001,0.0112,0.2489,0.4067,0.0,-,-,0.0,0.0,-,1.1024
637,Hugo Lloris,Tottenham,0.3147,0.305,0.0314,0.0229,0.0,0.0,0.2835,0.109,0.0,0.0287,0.0,-,1.0952
6818,James Maddison,Leicester,0.0,0.0,0.0,-,0.0768,0.0,0.747,0.0267,0.0965,0.0,0.146,-,1.093
3683,Ivan Cavaleiro,Fulham,0.0,0.0468,0.1704,0.0572,0.3534,-,0.0,0.0,0.0174,0.4475,0.0,-,1.0927
6853,Rúben Neves,Wolverhampton Wanderers,0.0,0.2607,0.1656,0.0989,0.0,0.1532,0.1932,0.0976,0.0613,0.0,0.0557,-,1.0862
822,Patrick Bamford,Leeds,0.0,0.0,0.0913,0.5077,0.0277,0.4157,0.0,0.0,0.0,0.0,0.0301,0.0,1.0725
1746,Jeff Hendrick,Newcastle United,0.3099,0.0,0.0,0.3176,0.0954,0.0718,0.0,0.0315,-,0.2434,-,-,1.0696
7722,Trézéguet,Aston Villa,0.0,0.1464,0.1279,0.063,0.0,0.5752,0.1254,0.0184,0.0,-,-,-,1.0563
769,Jonjo Shelvey,Newcastle United,0.2143,0.0,0.0539,0.34,0.0506,-,-,-,-,0.3891,-,-,1.0479
2190,Vicente Guaita,Crystal Palace,0.0,0.0,0.0,0.0,0.0,0.7475,0.0557,0.0,0.0315,0.084,0.1207,-,1.0394
522,Wilfried Zaha,Crystal Palace,0.0,0.3719,0.0,0.0201,0.0,0.2706,0.1412,0.0,-,-,0.2038,-,1.0076
876,Fabian Delph,Everton,-,-,-,0.0,-,0.0,0.3769,-,-,0.0,0.6143,-,0.9912
3389,Benjamin Mendy,Manchester City,0.1896,0.1483,0.1076,-,-,-,-,-,0.324,0.2135,-,-,0.983
