id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,total
3294,Edinson Cavani,Manchester United,-,-,-,-,2,0,1,2,4,0,-,-,2,0,2,-,3,0,2,1,2,1,22
6049,Solly March,Brighton,1,0,5,0,0,0,0,-,1,2,1,2,0,1,3,0,1,0,0,2,2,-,21
87,Joelinton,Newcastle United,1,0,0,1,0,0,-,1,2,7,2,1,2,1,2,1,-,0,-,-,-,-,21
6827,Bobby Reid,Fulham,1,1,1,0,-,0,3,2,3,0,0,2,0,1,0,2,0,-,2,3,-,-,21
843,James Ward-Prowse,Southampton,2,3,0,0,0,1,3,0,0,1,0,2,2,0,1,1,0,1,1,1,2,-,21
6854,Diogo Jota,Liverpool,-,-,3,4,1,1,1,3,5,2,0,-,-,-,-,-,-,-,-,-,-,-,20
5609,Yves Bissouma,Brighton,2,2,-,2,5,0,1,2,0,0,1,2,1,1,0,0,0,-,0,1,0,-,20
7699,Adam Webster,Brighton,1,0,1,1,1,0,2,1,0,1,1,-,1,3,2,0,2,0,1,2,0,-,20
4476,Callum Robinson,West Bromwich Albion,0,1,3,0,0,0,3,2,1,1,0,0,-,0,0,2,0,2,1,1,0,3,20
2496,Rodri,Manchester City,1,1,0,0,2,1,0,3,0,1,1,4,0,1,1,0,-,3,1,0,-,-,20
502,Olivier Giroud,Chelsea,-,-,0,-,-,-,0,0,0,1,6,2,3,-,-,2,-,4,-,2,-,-,20
8706,Eberechi Eze,Crystal Palace,0,0,3,0,-,2,0,2,0,2,1,2,0,0,3,-,1,1,1,0,2,0,20
770,Ayoze Pérez,Leicester,1,1,-,0,3,-,-,-,-,-,3,1,2,-,1,3,-,0,0,1,3,-,19
8992,Hakim Ziyech,Chelsea,-,-,-,-,0,0,1,3,1,2,1,-,-,-,-,-,2,5,1,3,-,-,19
5543,Gabriel Jesus,Manchester City,3,-,-,-,-,-,2,4,2,0,1,2,-,-,-,0,1,2,0,2,-,-,19
9040,Conor Gallagher,West Bromwich Albion,-,-,-,-,1,1,0,2,0,5,1,6,1,0,0,0,1,-,1,-,0,0,19
771,Georginio Wijnaldum,Liverpool,2,4,1,0,0,2,0,0,0,0,1,1,0,0,1,0,2,1,1,1,2,-,19
1740,Paul Pogba,Manchester United,2,0,1,0,1,0,0,-,-,2,1,0,-,0,1,4,1,3,1,1,1,-,19
3585,Said Benrahma,West Ham,-,-,-,-,-,-,0,2,-,1,2,6,0,0,-,2,0,1,2,2,1,-,19
7723,John McGinn,Aston Villa,2,2,1,1,2,0,0,1,1,1,0,4,0,1,1,1,-,1,0,-,-,-,19
8067,Reece James,Chelsea,1,0,0,-,0,1,2,2,2,0,1,3,3,-,1,-,-,-,2,-,1,-,19
