id,name,team,1,2,3,4,5,6,7,8,9,total
6316,Panagiotis Retsos,Saint-Etienne,-,-,-,-,-,-,0.0776,0.0,-,0.0776
2782,Moussa Doumbia,Reims,-,-,-,-,-,-,0.0,0.0763,0.0,0.0763
8249,Renaud Emond,Nantes,-,0.0,0.075,0.0,0.0,0.0,-,-,-,0.075
1144,Seko Fofana,Lens,-,-,-,0.0748,-,-,-,-,-,0.0748
3772,Maxime Lopez,Marseille,-,0.0,0.0738,-,0.0,0.0,-,-,-,0.0738
7240,Benoit Badiashile Mukinayi,Monaco,0.0,0.0,0.0,0.0,0.0,0.0,0.0735,0.0,0.0,0.0735
6310,Boubakary Soumare,Lille,0.0,-,0.0,0.0714,0.0,-,0.0,0.0,-,0.0714
3461,Majeed Waris,Strasbourg,0.0,0.0705,0.0,0.0,0.0,-,0.0,-,0.0,0.0705
7282,Giulian Biancone,Monaco,-,-,-,-,0.0,0.07,-,-,-,0.07
6874,Yann Gboho,Rennes,-,0.0511,0.0,-,-,-,0.0,0.0,0.0186,0.0697
8668,Tony Mauricio,Lens,0.0341,0.0,0.0,0.0,-,0.0303,0.0,-,-,0.0644
8056,Arnaud Kalimuendo Muinga,Paris Saint Germain,0.0609,-,-,-,-,-,-,-,-,0.0609
7730,Jean-Charles Castelletto,Nantes,-,0.0,-,-,-,0.0608,0.0,0.0,-,0.0608
3354,Sébastien Corchia,Nantes,-,-,-,-,-,-,0.0603,-,-,0.0603
7570,Moreto Cassamã,Reims,0.0,0.0181,0.0213,0.0203,0.0,-,0.0,-,-,0.0597
6862,Florian Miguel,Nimes,0.0,-,-,0.0,0.0,-,0.0,0.0,0.0592,0.0592
5177,Caio Henrique,Monaco,-,-,-,-,-,-,0.0253,0.0,0.0329,0.0582
6452,Mahdi Camara,Saint-Etienne,0.0,0.0,0.0138,0.0,0.0,0.0,0.0,0.0164,0.0273,0.0575
6128,Kévin Zohi,Strasbourg,0.057,0.0,0.0,-,0.0,0.0,-,0.0,0.0,0.057
7852,Sidy Sarr,Nimes,0.0,0.0569,-,0.0,-,-,-,-,-,0.0569
7908,Marshall Munetsi,Reims,0.0,0.0,0.0,0.0,-,0.0,-,0.0,0.0559,0.0559
