id,name,team,1,2,3,4,5,total
8651,Enzo Le Fée,Lorient,1.0262,0.0712,0.0,0.0,0.0,1.0974
5789,Boubacar Kamara,Marseille,0.1366,0.022,0.5726,0.114,0.2418,1.087
6882,Ghislain Konan,Reims,0.5767,0.1597,0.2406,0.1081,-,1.0851
3297,Marquinhos,Paris Saint Germain,-,-,0.926,0.1412,-,1.0672
8026,Raphinha,Rennes,0.0404,0.5371,0.1506,0.0183,0.317,1.0634
7562,Eric Junior Dina Ebimbe,Dijon,0.2771,0.018,0.1405,0.1173,0.5104,1.0633
5684,Arnaud Nordin,Saint-Etienne,0.6677,0.0838,0.1775,0.0365,0.0707,1.0362
7716,Darío Benedetto,Marseille,0.1834,0.0086,-,0.2028,0.632,1.0268
3370,Issiaga Sylla,Lens,0.2916,0.0,0.0,0.6156,0.1169,1.0241
1022,Pedro Chirivella,Nantes,0.0375,0.3551,0.0884,0.4596,0.0822,1.0228
8244,Dylan Bronn,Metz,0.0124,0.0712,0.0,0.653,0.2772,1.0138
5975,Kenny Lala,Strasbourg,0.0,0.1123,0.4919,0.2476,0.1506,1.0024
8664,Facundo Medina,Lens,0.2524,0.0,0.0,0.6776,0.0724,1.0024
5742,Hugo Magnetti,Brest,-,1.0016,-,-,-,1.0016
4765,Loïck Landre,Nimes,0.8091,0.0742,0.0176,0.0,0.0858,0.9867
8637,Burak Yilmaz,Lille,0.0,0.0229,0.1905,0.6039,0.1583,0.9756
3673,Valentin Rongier,Marseille,0.0,0.0134,0.6956,0.1767,0.0883,0.974
6869,Antonin Bobichon,Angers,-,0.0193,0.5922,0.3026,0.0584,0.9725
5647,Arnaud Souquet,Montpellier,0.0522,0.5563,0.3144,0.0382,-,0.9611
8697,Jonathan Clauss,Lens,-,-,0.3599,0.1497,0.4483,0.9579
3490,Thomas Mangani,Angers,0.0,0.0946,0.5175,0.2127,0.118,0.9428
92,Hiroki Sakai,Marseille,0.0,0.0,0.5891,0.1244,0.2283,0.9418
3463,Romain Philippoteaux,Brest,0.9408,-,-,-,0.0,0.9408
3275,Jordan Ferri,Montpellier,0.0359,0.1582,0.0598,0.455,0.2293,0.9382
5769,Habib Diallo,Metz,0.0916,0.0,0.8428,-,0.0,0.9344
6905,Ludovic Ajorque,Strasbourg,0.1477,0.1021,0.0747,0.2421,0.3615,0.9281
6601,Timothy Weah,Lille,-,0.5004,0.0,0.4217,-,0.9221
5762,Pierre-Yves Hamel,Lorient,0.3909,0.0607,-,0.369,0.0933,0.9139
5733,Houssem Aouar,Lyon,-,0.46,0.1072,-,0.3451,0.9123
1720,Didier Ndong,Dijon,0.2771,0.099,0.1212,0.0981,0.3105,0.9059
6239,Junior Sambia,Montpellier,0.0,0.1763,0.0,0.6733,0.0473,0.8969
6112,Andrei Girotto,Nantes,0.0346,0.0,0.3039,0.4839,0.066,0.8884
8294,El Bilal Touré,Reims,0.7698,0.0,0.1028,0.0,-,0.8726
5774,Clement Michelin,Lens,0.1329,0.734,0.0,-,-,0.8669
8655,Mehdi Chahiri,Strasbourg,0.1854,0.0418,0.0745,0.1065,0.4575,0.8657
5998,Christophe Herelle,Brest,-,-,0.4204,0.1874,0.2567,0.8645
5677,Florent Mollet,Montpellier,0.0,-,0.0223,0.7981,0.028,0.8484
5635,Faitout Maouassa,Rennes,0.2301,0.3515,0.1506,0.1079,-,0.8401
8190,Melvin Bard,Lyon,0.085,-,0.0727,0.647,0.0322,0.8369
7734,Cristian Battocchio,Brest,0.0,-,0.7358,0.1008,0.0,0.8366
5676,Opa Nguette,Metz,0.0464,0.0712,0.0405,0.6151,0.0626,0.8358
5692,Fouad Chafik,Dijon,-,0.018,0.1446,0.4686,0.1994,0.8306
3362,Rony Lopes,Nice,-,0.0,0.0,0.6157,0.2069,0.8226
8660,Jordan Lotomba,Nice,0.0887,0.026,-,0.6432,0.0637,0.8216
3251,Paul Bernardoni,Angers,0.058,0.0545,0.65,0.0397,0.0174,0.8196
2243,Keylor Navas,Paris Saint Germain,-,-,0.6741,0.1446,-,0.8187
8278,Papa Ndiaga Yade,Metz,0.0383,0.0,-,0.6137,0.1639,0.8159
6734,Ambroise Oyongo,Montpellier,0.0655,0.0,-,0.7332,0.0,0.7987
3239,Hamari Traore,Rennes,-,-,0.0728,0.2465,0.4725,0.7918
7557,Yassin Benrahou,Nimes,0.5108,0.0,0.1789,-,0.0914,0.7811
3346,Jonas Martin,Rennes,0.0182,0.092,0.0843,0.2867,0.2954,0.7766
3561,Romain Hamouma,Saint-Etienne,0.601,0.0,0.0843,0.0194,0.0707,0.7754
