id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
93,Marcelo,Lyon,-,-,-,-,0.5563,0.141,-,0.3542,0.0335,0.6708,-,-,-,-,0.0,0.1811,-,-,0.1383,0.5695,0.0526,0.3342,0.0156,0.0,0.6445,0.2126,0.1177,0.0498,4.0717
6314,Joachim Andersen,Lyon,0.0331,0.7243,0.0665,0.0,0.4268,0.1762,0.0203,-,0.0,-,0.1667,0.164,0.7247,0.033,0.0,-,0.4332,0.1185,-,0.3226,-,-,-,-,0.274,-,-,0.3864,4.0703
3451,Benjamin Lecomte,Monaco,0.3016,0.0766,0.1171,0.0245,0.0,0.0,0.3771,0.7134,0.0,0.0,0.0,0.2273,0.5289,0.3259,0.0,0.2267,0.0,0.3786,0.0179,0.1106,0.0,0.0986,0.1059,0.0,0.1848,0.1156,0.0,0.0,3.9311
3337,Hilton,Montpellier,0.066,0.0,0.5159,0.0903,0.0,0.0,0.0334,0.1081,0.1331,0.0,0.2485,0.0,0.0,0.0,0.5163,0.3051,0.0,0.1665,0.3448,0.0905,0.0862,0.0,0.0636,0.214,0.095,0.0,0.226,0.6237,3.927
3581,Jemerson,Monaco,0.3789,0.3148,0.1043,-,-,-,0.2509,1.5176,-,0.168,0.0637,0.4612,-,0.2996,0.067,0.189,0.017,0.0,-,-,-,-,-,-,-,-,-,-,3.832
3655,Charles Traore,Nantes,0.051,0.0298,-,0.1923,0.0152,0.0,-,-,-,-,-,-,0.0227,0.539,0.1788,0.0499,0.3479,0.3588,0.0844,0.4608,0.019,0.0,0.4363,-,0.2063,0.0241,0.0,0.7934,3.8097
5661,Jonathan Ikone,Lille,0.0,0.0,0.4184,0.0439,0.1213,0.0165,0.3717,0.0785,0.3672,0.0241,0.0823,0.0806,0.0,0.0,0.1406,0.2938,0.1848,0.0534,0.0,0.0429,0.1339,0.0,0.2421,0.0622,0.5193,0.1295,0.0,0.3982,3.8052
8026,Raphinha,Rennes,-,-,-,-,0.0184,0.0812,0.0881,0.0,0.1383,-,0.2339,0.8352,0.0,0.3249,0.7494,0.0758,0.1345,0.1305,0.0899,0.038,0.5214,0.0,0.0,-,0.0667,0.1404,0.1326,0.0,3.7992
3670,Nicolas Pallois,Nantes,0.0,0.0469,0.4578,0.0668,0.0911,0.203,0.044,0.0,0.7058,-,0.7725,0.0,0.492,-,0.1733,0.102,0.0665,0.0,0.1095,-,-,-,-,-,0.0855,0.069,0.0,0.3033,3.789
3490,Thomas Mangani,Angers,0.077,0.111,1.1086,0.0452,0.0667,0.4287,-,0.1353,0.0,0.1847,0.5238,0.041,0.0159,0.333,0.124,0.1515,0.0227,0.1879,0.0,0.0176,0.0,0.2136,-,0.0,0.0,-,-,0.0,3.7882
