id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,total
5724,Irvin Cardona,Brest,-,-,0.0,0.2969,-,-,-,-,0.4888,0.0504,-,0.0794,0.2621,0.268,0.5443,0.2311,0.0798,0.3582,0.0451,0.47,0.4364,0.3526,0.2436,0.2057,0.4573,0.0,0.3608,0.0,5.2305
4801,Rachid Alioui,Angers,0.0876,0.0511,0.6484,0.0874,0.0,0.2012,0.5808,0.2104,0.2996,0.1241,0.0,0.015,0.1984,0.1801,0.0,0.1782,0.6975,0.0537,0.0,0.1546,0.0,0.7468,0.0293,0.2425,0.0,0.4295,0.0,0.0,5.2162
3244,Nicolas de Preville,Bordeaux,0.2022,0.0367,0.0518,0.172,0.6146,-,-,0.0,0.2034,-,0.0458,0.136,0.3592,0.9139,0.0,0.83,0.0145,0.3757,0.0167,0.0,0.0608,0.0233,0.1449,0.1426,0.1737,0.0128,0.6329,-,5.1635
464,Max Gradel,Toulouse,0.0693,0.4832,0.0654,0.0,0.97,0.0,0.0305,0.0653,0.1053,1.7418,0.1804,0.0789,0.0096,0.1126,0.0848,0.0,0.0531,-,-,-,-,-,-,-,0.3827,0.0291,0.1475,0.5307,5.1402
3549,Adrien Thomasson,Strasbourg,0.651,0.0,-,0.2549,0.0,0.0354,-,0.0,0.2821,0.1451,0.8972,0.0,0.3511,0.0,0.0585,0.0,0.3687,0.0559,0.3164,0.18,0.1932,0.5318,0.0798,0.3978,0.0,0.0959,0.0833,-,4.9781
5787,Aaron Leya Iseka,Toulouse,0.1089,-,0.0,0.0156,0.5596,0.0,0.081,0.1863,0.0,-,0.0,0.0,-,0.0,0.7601,0.1086,0.0125,-,-,0.0,0.1211,-,0.0,1.4493,1.3784,0.1372,0.0413,0.0,4.9599
7747,Mama Baldé,Dijon,0.0862,0.03,0.0842,0.6038,0.5263,-,0.2223,0.125,-,-,0.1433,0.0,-,0.0977,0.0869,0.4194,0.0,0.3437,0.5047,0.2009,0.0656,0.5373,0.0776,0.1095,0.0,0.3679,0.0236,0.1603,4.8162
7012,Gelson Martins,Monaco,0.3016,0.0,0.5646,0.0,0.0,0.0,0.0,0.2978,0.0316,-,0.115,0.0,0.227,0.0,1.9429,0.1866,0.0,0.3991,0.4308,0.1511,0.0,0.0872,-,-,-,-,-,-,4.7353
690,Loïc Remy,Lille,-,0.0507,0.0,-,-,-,0.4562,0.0,0.7944,0.06,0.3134,0.0,0.0807,0.3195,-,-,-,-,0.0,0.0,0.0,0.0,0.0984,0.0896,0.4573,0.949,0.6931,0.3053,4.6676
555,Memphis Depay,Lyon,0.2135,0.613,0.4798,0.3631,-,0.0657,0.0968,0.2464,0.0292,-,0.2512,0.8867,-,-,-,0.1876,1.1381,0.0,-,-,-,-,-,-,-,-,-,-,4.5711
1210,Keita,Monaco,-,0.0453,-,0.0,0.3758,0.4478,-,0.3715,0.0,0.0,0.0,0.5211,-,0.0,0.1306,0.7205,0.0772,0.4669,0.3467,0.0281,-,0.0,0.0,0.3345,0.4028,-,0.1088,-,4.3776
