id,name,team,1,2,3,4,5,6,7,8,9,total
8933,Marcos de Sousa,Real Valladolid,-,-,0.1074,0.0515,0.0985,0.0579,0.066,0.2571,1.4091,2.0475
1588,Raúl Albiol,Villarreal,0.1879,1.2174,0.0387,0.3037,0.019,0.1412,0.0195,0.1004,0.0,2.0278
1884,Facundo Roncaglia,Osasuna,-,0.0208,-,0.7941,0.4889,0.0,0.6026,0.1095,-,2.0159
8907,Mickaël Malsa,Levante,-,0.5888,0.0,0.0223,0.0542,0.1687,0.3042,0.8626,-,2.0008
4175,Pere Milla,Elche,0.8845,0.0727,0.0721,0.713,0.0865,0.0,0.1699,-,-,1.9987
2518,Marcos Llorente,Atletico Madrid,0.5413,0.2263,0.1639,0.0719,0.152,0.2167,0.6165,-,-,1.9886
6325,Andoni Gorosabel,Real Sociedad,0.0555,0.3572,0.8513,0.0981,0.1911,0.1818,0.1183,0.1168,-,1.9701
2122,Joan Jordán,Sevilla,0.402,0.3336,0.0894,0.5713,-,0.3618,0.1906,-,-,1.9487
7826,Joseph Aidoo,Celta Vigo,0.2777,0.3081,0.0,0.0,0.025,-,-,0.139,1.1833,1.9331
802,Diego Costa,Atletico Madrid,0.9333,0.0742,0.1523,0.7579,-,-,-,-,-,1.9177
8015,Rodrygo,Real Madrid,0.0279,-,-,0.2307,-,0.7952,0.7337,0.1158,-,1.9033
2161,Nacho,Real Valladolid,0.7058,0.0264,0.1572,-,0.1152,0.0,0.1311,-,0.7671,1.9028
5074,Kike García,Eibar,0.179,0.6984,0.1476,0.0479,0.4743,0.0654,0.1984,0.0531,0.0219,1.886
2369,Toni Kroos,Real Madrid,0.1088,0.1545,-,-,0.271,1.2793,0.0628,0.0,-,1.8764
2245,Raphael Varane,Real Madrid,0.0524,0.5497,0.1475,0.0,0.1268,0.9891,-,0.0,-,1.8655
2391,José Mari,Cadiz,0.0859,0.0249,0.549,0.0,0.0,0.9818,0.1055,0.0651,-,1.8122
493,Gabriel,Valencia,0.3783,0.0,-,-,-,0.0,0.7768,0.5136,0.0895,1.7582
2453,Marc Bartra,Real Betis,0.0,0.0,0.0472,0.1088,0.2897,0.0276,0.362,0.9222,0.0,1.7575
2384,Santi Mina,Celta Vigo,0.0,-,0.0,0.0,0.0,1.0128,0.0,0.0,0.7375,1.7503
7870,Luis Rioja,Alaves,0.0,0.0352,0.6428,0.0,-,0.0,-,1.0603,0.0,1.7383
7834,Manu Vallejo,Valencia,0.9936,0.0,0.0,0.0,0.0,0.0,0.7446,-,-,1.7382
6950,Jorge Pulido,SD Huesca,0.0,0.0233,0.1185,0.0,1.2191,0.0,0.0289,0.342,-,1.7318
7871,Borja Sainz,Alaves,-,0.6317,0.0,0.1364,-,0.1613,0.7888,-,0.0,1.7182
6136,Mario Hermoso,Atletico Madrid,-,0.0934,-,0.3848,0.1054,0.0758,1.0086,-,-,1.668
8131,Iñigo Pérez,Osasuna,0.0,0.0348,0.0,0.285,0.4057,0.0213,0.765,0.1516,-,1.6634
6533,Anthony Lozano,Cadiz,0.0,-,0.0,0.057,0.7676,0.7677,0.0697,0.0,0.0,1.662
5232,Alexander Isak,Real Sociedad,0.1117,0.2346,0.4344,0.0852,0.1712,0.1691,0.4485,-,-,1.6547
7009,Jaime Mata,Getafe,0.5622,0.7133,0.0,0.0,0.072,0.1207,0.0,0.1822,-,1.6504
2505,José Gayá,Valencia,0.1465,0.0648,0.1285,0.6514,0.4052,0.0254,0.1046,0.0238,0.0895,1.6397
6931,Fran Beltrán,Celta Vigo,-,0.4961,0.0929,0.1229,-,0.4003,0.0,0.4356,0.0627,1.6105
7921,Felipe,Atletico Madrid,0.9248,0.6569,0.0257,0.0,0.0,0.0,-,-,-,1.6074
5044,Víctor Laguardia,Alaves,0.0,0.5713,0.0,0.0335,0.0,0.1613,0.4928,0.0,0.3442,1.6031
452,Takashi Inui,Eibar,0.0,0.7814,0.1126,0.112,0.1124,0.1578,0.0,0.2596,0.064,1.5998
2401,Muniain,Athletic Club,0.2797,0.0707,0.0,0.0418,0.7112,0.175,0.1374,0.1785,-,1.5943
2511,Vitolo,Atletico Madrid,0.1381,0.0,-,-,0.4857,0.9604,-,-,-,1.5842
7526,Martín Zubimendi,Real Sociedad,-,-,0.0,0.0981,0.1712,0.0,0.2706,0.2104,0.8289,1.5792
7888,Nemanja Gudelj,Sevilla,0.9858,-,0.0187,-,0.5603,0.0,0.0,-,-,1.5648
8001,Takefusa Kubo,Villarreal,0.3263,0.2378,0.0925,0.0743,0.0367,0.0236,0.0,0.6588,0.0995,1.5495
2509,Dimitri Foulquier,Granada,0.0,0.576,0.0669,0.1172,0.6517,0.1198,-,-,-,1.5316
7891,Renan Lodi,Atletico Madrid,0.2467,0.6112,0.2665,-,0.4054,-,-,-,-,1.5298
2284,Daniel Wass,Valencia,0.3102,0.1675,0.0731,0.6236,0.0737,0.0,0.1481,0.0922,0.0176,1.506
1672,Jonathan Calleri,Osasuna,-,0.0,0.541,0.8355,0.1253,-,-,-,-,1.5018
7864,Carlos Neva,Granada,0.4045,0.7976,-,0.1169,0.1336,0.0,0.0374,-,-,1.49
323,Adnan Januzaj,Real Sociedad,0.0,0.055,0.1813,0.0981,-,0.0863,-,-,1.0655,1.4862
4146,Fidel,Elche,0.3415,0.065,0.1168,0.578,0.1513,0.1238,0.1056,-,-,1.482
2183,Rubén García,Osasuna,0.1103,0.2891,0.0492,0.1485,0.0,0.0447,0.765,0.0713,-,1.4781
7863,Antonio Puertas,Granada,0.0,0.576,0.047,0.1855,0.597,0.0,0.0495,-,-,1.455
6949,Jorge Miramón,Levante,0.7233,0.1736,0.0,0.1178,0.2027,0.1695,0.057,-,-,1.4439
8733,Alfonso Espino,Cadiz,0.1398,0.0249,0.3731,0.0,0.0406,0.4804,0.0697,0.2904,0.0099,1.4288
497,Francis Coquelin,Villarreal,0.0257,0.575,0.0791,-,-,0.0858,0.6607,-,0.0,1.4263
565,Nyom,Getafe,0.1463,0.5483,0.3486,0.0,0.0,0.1764,0.0366,0.1631,-,1.4193
