id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
6217,Enis Bardhi,Levante,0.023,0.9575,0.0,0.0631,0.0,0.0617,0.0756,0.534,-,-,-,-,-,1.7149
8933,Marcos de Sousa,Real Valladolid,-,-,0.1074,0.0,0.0,0.0,0.0,0.0319,0.6904,0.0,0.288,0.0,0.5819,1.6996
6917,Rubén Alcaraz,Real Valladolid,-,-,-,-,-,0.0,0.1311,0.2034,0.7952,0.0,0.0,0.1621,0.4016,1.6934
6949,Jorge Miramón,Levante,0.5902,0.1174,0.0,0.0593,0.0517,0.1695,0.057,-,-,-,0.6395,-,-,1.6846
2509,Dimitri Foulquier,Granada,0.0,0.576,0.0513,0.1172,0.6517,0.1198,-,-,0.0651,0.0,0.0967,-,-,1.6778
5136,Estupiñán,Villarreal,-,0.2578,0.0387,0.3209,0.047,-,-,0.0738,0.0,0.5704,0.1811,0.1831,-,1.6728
8979,Sergiño Dest,Barcelona,-,-,0.0232,0.0582,0.3563,0.0207,-,0.0344,1.1189,0.0587,-,-,-,1.6704
2186,Morales,Levante,0.202,0.0,0.0,0.0,0.0542,0.0,0.0459,0.8059,0.0212,0.0,0.5337,-,-,1.6629
6215,Sergio Postigo,Levante,0.0,0.1008,0.0,0.1106,0.0,0.0617,0.4112,-,0.1312,0.0735,0.7534,-,-,1.6424
7888,Nemanja Gudelj,Sevilla,0.9858,-,0.0,-,0.5603,0.0,0.0,-,0.0,0.0828,-,-,-,1.6289
2228,Aritz Elustondo,Real Sociedad,0.0255,0.1317,0.4613,0.0981,0.0,0.0,0.2273,-,0.2181,0.4312,0.0,-,-,1.5932
5304,Mikel Merino,Real Sociedad,0.0,0.0767,0.0789,0.1612,0.3359,0.1519,0.1152,-,0.5135,0.0414,0.0,0.1144,-,1.5891
8334,Hugo Guillamón,Valencia,-,-,0.0577,0.0,0.4052,-,0.6766,0.0815,0.0742,0.2909,0.0,-,-,1.5861
6433,Jules Koundé,Sevilla,-,0.2892,0.1374,-,-,0.1487,0.2184,0.1966,0.4426,0.1314,-,-,-,1.5643
6118,Portu,Real Sociedad,0.0152,0.3356,0.0983,0.0,0.0,0.0,0.3879,0.0,0.0242,0.0327,0.0,0.6653,-,1.5592
2521,Alfonso,Villarreal,0.0397,0.4509,-,-,-,0.2198,0.0195,0.0,0.5572,0.1324,0.1329,-,-,1.5524
7526,Martín Zubimendi,Real Sociedad,-,-,0.0,0.0981,0.1712,0.0,0.2706,0.2104,0.7854,0.0,0.0,0.015,-,1.5507
7857,Jon Moncayola,Osasuna,0.0,0.0505,0.0,0.0,0.3471,-,0.6342,0.1906,0.1045,0.0231,0.0384,0.1459,-,1.5343
2272,Yannick Carrasco,Atletico Madrid,0.5553,0.5178,0.0157,0.0719,0.0717,-,-,0.2609,0.0368,-,-,-,-,1.5301
680,Thibaut Courtois,Real Madrid,0.0246,0.5525,0.047,0.0,0.1204,0.5267,0.0628,0.0612,0.0,0.1345,0.0,-,-,1.5297
1421,Cristian Tello,Real Betis,0.0,0.0,0.008,0.0,0.8435,0.0,0.4549,0.1845,0.0,0.0269,0.0,-,-,1.5178
2110,Rubén Duarte,Alaves,0.0,0.0,0.1243,0.1085,0.0483,-,0.6025,0.0641,0.0,0.1795,0.3883,0.0,-,1.5155
1884,Facundo Roncaglia,Osasuna,-,0.0157,-,0.2014,0.4889,0.0,0.5901,0.1095,0.0343,0.0,0.0384,-,-,1.4783
7864,Carlos Neva,Granada,0.4045,0.7976,-,0.0822,0.0846,0.0,0.0,-,0.1057,0.0,0.0,-,-,1.4746
493,Gabriel,Valencia,0.3783,0.0,-,-,-,0.0,0.7673,0.0218,0.0895,0.2165,0.0,0.0,-,1.4734
2518,Marcos Llorente,Atletico Madrid,0.0966,0.1869,0.0,0.0,0.0803,0.08,0.4494,0.1716,0.0729,0.3226,-,-,-,1.4603
8934,Trincão,Barcelona,0.0,0.0,0.1266,0.0,0.0,0.189,1.0794,0.0,0.0,0.0614,-,-,-,1.4564
1290,Miralem Pjanic,Barcelona,0.1818,-,0.0404,-,-,0.3697,0.581,0.2121,-,0.0614,-,-,-,1.4464
6126,Ander Guevara,Real Sociedad,-,0.0881,0.0,0.0482,0.0,0.0656,-,0.6131,-,0.488,0.0,0.0986,-,1.4016
5093,Roberto Torres,Osasuna,0.0,0.0,0.519,-,-,0.0,0.5901,0.0281,0.0,0.0,0.0384,0.2048,-,1.3804
2589,Rafa Mir,SD Huesca,0.0215,0.0,0.1134,0.0,0.0366,0.0343,0.0,0.6703,0.0,0.0,0.0,0.4944,-,1.3705
2537,Sandro Ramírez,SD Huesca,-,-,-,-,-,0.2885,0.0763,0.3882,0.0247,0.0932,0.0,0.4944,-,1.3653
2460,Sergio Asenjo,Villarreal,0.1202,0.0498,0.0,0.0,0.0679,0.1327,0.5498,0.0266,0.0,0.3963,0.0,0.0208,-,1.3641
6921,Óscar Plano,Real Valladolid,0.0447,0.0,0.0,0.1113,0.0,0.0,0.1188,0.1094,0.0653,0.0,0.0,0.0651,0.8428,1.3574
5062,Yeray Álvarez,Athletic Club,0.0773,-,-,-,0.2581,0.2136,0.0856,0.1491,0.4224,0.0665,0.084,-,-,1.3566
2444,Bruno,Real Valladolid,0.5797,0.0113,0.0,0.0,-,0.0,-,0.1094,0.0,0.0342,0.1717,0.0307,0.4016,1.3386
2125,Ander Capa,Athletic Club,0.09,0.0,0.0189,0.0418,0.0,0.0865,0.2036,0.0674,0.676,0.1253,0.0207,-,-,1.3302
6926,William Carvalho,Real Betis,0.0631,0.0899,0.0839,0.0,0.0,0.0,0.4194,0.0,0.0,0.0692,0.0,0.5966,-,1.3221
2505,José Gayá,Valencia,0.1465,0.0648,0.0577,0.5664,0.4052,0.0254,0.0,0.0238,0.0291,0.0,-,-,-,1.3189
2384,Santi Mina,Celta Vigo,0.0,-,0.0,0.0,0.0,0.3545,0.0,0.0,0.2899,0.146,0.5273,0.0,-,1.3177
615,Fernando,Sevilla,-,0.1236,0.1016,0.0526,-,0.1487,0.138,0.1608,0.4695,0.1148,-,-,-,1.3096
8775,Son,Levante,-,-,0.0238,-,0.0,-,0.1842,0.8429,0.163,0.0871,-,-,-,1.301
7008,Vinícius Júnior,Real Madrid,0.0482,-,0.1319,0.0322,0.1141,0.8772,0.0537,0.0367,0.0,0.0066,0.0,-,-,1.3006
8107,Jorge De Frutos,Levante,0.0174,0.5911,0.0,0.1178,0.0,0.0,0.0621,0.0871,0.0,0.0,0.4198,-,-,1.2953
8892,Josema,Elche,0.8704,0.0,0.1889,-,0.0,0.0752,0.0,0.1219,0.0,0.0345,-,-,-,1.2909
2183,Rubén García,Osasuna,0.0,0.0,0.0492,0.1485,0.0,0.0,0.6342,0.0713,0.0297,0.3525,0.0,0.0,-,1.2854
2391,José Mari,Cadiz,0.057,0.0,0.5293,0.0,0.0,0.6235,0.0697,0.0,-,-,-,-,-,1.2795
2253,Lucas Vázquez,Real Madrid,-,-,-,0.0,0.0688,0.0795,0.3123,0.3542,0.0,0.2885,0.1754,-,-,1.2787
2478,Carlos Soler,Valencia,-,-,-,-,0.0,0.0,0.7768,0.2299,0.0176,0.2355,0.0,0.0,-,1.2598
7870,Luis Rioja,Alaves,0.0,0.0,0.6428,0.0,-,0.0,-,0.0367,0.0,0.1795,0.3883,0.0,-,1.2473
497,Francis Coquelin,Villarreal,0.0257,0.5253,0.0,-,-,0.0858,0.606,-,0.0,-,0.0,0.0,-,1.2428
7134,Marc Cucurella,Getafe,0.0682,0.2148,0.3486,0.0,0.1167,0.1092,0.0616,0.0477,0.1597,0.0,0.1103,-,-,1.2368
5090,David García,Osasuna,0.0,0.2735,0.022,0.0519,0.0,0.0213,0.6342,0.1095,0.08,-,0.0,0.0412,-,1.2336
3274,Maxime Gonalons,Granada,0.0,0.576,-,0.0827,0.0,-,0.0,-,0.0665,0.0,0.4999,-,-,1.2251
8750,Rodrigo Battaglia,Alaves,0.0,0.0,0.384,0.0,0.055,0.1083,0.496,0.0,0.0,0.1056,0.0673,0.0,-,1.2162
2399,Iñaki Williams,Athletic Club,0.0,0.0,0.0,0.3064,0.0,0.0,0.1067,0.0797,0.664,0.0,0.0545,-,-,1.2113
7893,Héctor Herrera,Atletico Madrid,-,-,0.0157,0.0,0.0378,0.4993,0.2273,-,-,0.4295,-,-,-,1.2096
3226,Ousmane Dembélé,Barcelona,0.5917,-,-,0.3177,0.0,0.0533,0.0,0.1736,0.0,0.0568,-,-,-,1.1931
7276,Robin Le Normand,Real Sociedad,-,0.0,0.0,0.0981,0.0,0.3657,0.1061,0.1168,0.4961,-,0.0,-,-,1.1828
5091,Alex Berenguer,Athletic Club,-,-,-,0.0418,0.0759,0.1081,0.097,0.1255,0.7096,0.0,0.0204,-,-,1.1783
3264,Mauro Arambarri,Getafe,0.0218,0.1525,0.279,0.0505,0.0349,0.1092,0.4335,0.0477,0.0,0.0,0.0467,-,-,1.1758
2369,Toni Kroos,Real Madrid,0.0482,0.1545,-,-,0.1665,0.4625,0.0628,0.0,0.0,0.0967,0.1792,-,-,1.1704
1516,Geoffrey Kondogbia,Atletico Madrid,-,-,-,-,-,-,1.0956,0.0,0.0,0.0739,-,-,-,1.1695
2406,Mikel Rico,SD Huesca,0.0525,-,-,0.0665,0.1663,-,-,-,0.2598,0.0983,0.0,0.519,-,1.1624
2370,Karim Benzema,Real Madrid,0.0549,0.4738,0.0945,0.0311,0.1892,0.1031,0.1228,0.0858,-,-,0.0,-,-,1.1552
6931,Fran Beltrán,Celta Vigo,-,0.4798,0.0595,0.1229,-,0.3545,0.0,0.053,0.0627,-,0.0,0.0,-,1.1324
7891,Renan Lodi,Atletico Madrid,0.1777,0.6112,0.2504,-,0.0378,-,-,-,0.0478,-,-,-,-,1.1249
2511,Vitolo,Atletico Madrid,0.0415,0.0,-,-,0.4857,0.5573,-,-,0.0,0.0317,-,-,-,1.1162
