id,name,team,1,2,3,4,5,6,7,8,9,10,total
2442,Kevin Gameiro,Valencia,-,-,0.0708,0.0,0.0,0.0,0.0,-,0.0,0.773,0.8438
2122,Joan Jordán,Sevilla,0.0,0.0,0.1153,0.4687,-,0.0,0.1422,0.0931,-,-,0.8193
8935,Pedri,Barcelona,0.0,0.0,0.0,0.0,0.0,0.0,0.7638,0.0476,-,-,0.8114
2266,Saúl Ñíguez,Atletico Madrid,0.6211,0.015,0.0,-,-,-,0.0658,0.1089,-,-,0.8108
2479,Toni Lato,Valencia,-,-,-,0.0,-,-,0.6461,0.1484,0.0,0.0,0.7945
5095,Sergio León,Levante,0.0415,-,-,-,-,-,0.1004,0.534,0.107,-,0.7829
8122,Sergio Carreira,Celta Vigo,-,-,-,-,-,0.3545,0.4136,0.0,-,-,0.7681
2301,Manu Trigueros,Villarreal,-,0.0,0.0,0.0171,0.019,0.0211,0.0172,0.0155,0.6445,0.0314,0.7658
2566,Roger,Levante,-,0.4851,0.0,0.0,0.0,0.0,0.2377,-,0.0308,-,0.7536
802,Diego Costa,Atletico Madrid,0.5143,0.0,0.1366,0.1019,-,-,-,0.0,-,-,0.7528
6528,Loren Morón,Real Betis,-,-,0.0,0.1241,-,0.0,0.0,-,0.5333,0.0913,0.7487
8771,Yunus Musah,Valencia,0.254,0.0,0.0,0.0,-,0.0,0.0,0.4918,0.0,0.0,0.7458
6956,David Ferreiro,SD Huesca,0.0,0.0,0.0264,0.0579,0.089,0.0343,0.0296,0.3659,0.0247,0.105,0.7328
2125,Ander Capa,Athletic Club,0.0,0.0563,0.0,0.0288,0.0202,0.0211,0.0,0.0,0.6003,-,0.7267
2378,Daniel Parejo,Villarreal,0.0347,0.0,0.0,0.0417,0.0,0.2197,-,-,0.0,0.4026,0.6987
6221,Pau Torres,Villarreal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6978,0.0,0.0,0.6978
2155,Jorge Molina,Granada,-,0.0,0.6504,0.0,-,0.0,0.0,0.0,0.0463,-,0.6967
4034,José Campaña,Levante,0.2577,0.2794,0.0,0.0209,0.0,0.0758,-,0.0399,0.0212,-,0.6949
5091,Alex Berenguer,Athletic Club,-,-,-,0.0,0.3257,0.0269,0.0769,0.0267,0.237,-,0.6932
615,Fernando,Sevilla,-,0.0,0.6339,0.0534,-,0.0,0.0,0.0,-,-,0.6873
452,Takashi Inui,Eibar,0.0124,0.2827,0.0108,0.0196,0.01,0.1314,0.0,0.2065,0.0,-,0.6734
2255,Isco,Real Madrid,-,0.4738,0.0,0.0,0.0688,-,0.0537,0.0728,0.0,-,0.6691
495,Nacho Monreal,Real Sociedad,-,-,-,0.076,0.0,0.0,-,-,0.59,0.0,0.666
617,David Silva,Real Sociedad,-,0.055,0.1236,0.0648,0.0,0.0,0.0615,0.0936,0.2572,0.0,0.6557
8135,Esteban Burgos,Eibar,-,-,-,0.0,0.0,0.0,0.0,0.0,0.6475,-,0.6475
7921,Felipe,Atletico Madrid,0.0,0.5324,0.0864,0.022,0.0,0.0,-,0.0,-,-,0.6408
2296,Mario,Villarreal,0.0,0.0188,0.0387,0.0,0.0779,0.0236,0.0195,0.0,0.4579,0.0,0.6364
7208,Samuel Chukwueze,Villarreal,0.2398,0.1542,0.0,0.0,0.0,0.1074,0.0,0.0827,-,0.0523,0.6364
6926,William Carvalho,Real Betis,0.0,0.0821,0.0773,0.0352,0.0,0.0,0.414,0.0,0.0189,0.0,0.6275
6921,Óscar Plano,Real Valladolid,0.0369,0.0151,0.1074,0.0,0.0,0.0,0.0,0.0,0.0,0.4604,0.6198
5153,Kévin Rodrigues,Eibar,-,0.0,0.0207,0.0213,0.4743,0.0502,0.0,0.0,0.0515,-,0.618
2369,Toni Kroos,Real Madrid,0.0727,0.0,-,-,0.0344,0.5053,0.0,0.0,0.0,-,0.6124
1588,Raúl Albiol,Villarreal,0.0,0.5567,0.0,0.0,0.0,0.0,0.0,0.0,0.0377,0.0162,0.6106
2571,Sergio Canales,Real Betis,0.0724,0.1417,0.0606,0.1102,0.1909,0.0,0.0185,0.0,0.0,-,0.5943
2269,Koke,Atletico Madrid,0.0125,0.5178,0.0,0.0,0.0,0.061,0.0,0.0,-,-,0.5913
2185,Deyverson,Alaves,0.0,0.0,0.288,0.0786,0.055,-,0.1065,0.0,0.0553,-,0.5834
2135,Sergi Enrich,Eibar,0.0,0.0325,-,-,-,0.0,0.0,0.0598,-,0.4903,0.5826
5064,Dimitrios Siovas,SD Huesca,-,0.0,0.117,0.2332,0.0,0.2323,0.0,0.0,0.0,0.0,0.5825
8934,Trincão,Barcelona,0.1818,0.0,0.1367,0.0,0.0,0.0436,0.1821,0.018,-,-,0.5622
1706,Antonio Barragán,Elche,-,-,-,0.0,0.0,0.0,0.5619,0.0,-,-,0.5619
6950,Jorge Pulido,SD Huesca,0.0,0.1264,0.3812,0.0,0.0521,0.0,0.0,0.0,-,-,0.5597
3237,Aissa Mandi,Real Betis,0.0,0.0,0.4788,0.0,-,-,0.0,0.0787,0.0,-,0.5575
8893,Josan,Elche,0.3275,0.0,0.0,0.0689,0.0143,0.0752,0.0,0.0707,-,-,0.5566
8710,Renato Tapia,Celta Vigo,0.0,0.0342,0.0,0.0,0.0,0.0,0.0778,0.4012,0.0,0.0425,0.5557
5050,Clement Lenglet,Barcelona,0.0,0.0,-,0.0,0.0,0.0,0.0,0.5528,-,-,0.5528
2308,Denis Suárez,Celta Vigo,-,0.0232,0.4307,0.0,0.0233,0.0,0.0453,0.0,0.0165,0.0,0.539
4208,Míchel,Real Valladolid,0.535,0.0,-,0.0,-,-,-,0.0,-,-,0.535
7134,Marc Cucurella,Getafe,0.0416,0.0,0.1211,0.0,0.1584,0.192,0.0,0.0161,0.0,-,0.5292
2311,Roberto Soldado,Granada,0.0,0.3806,-,0.04,0.009,-,-,0.0,0.098,-,0.5276
6931,Fran Beltrán,Celta Vigo,-,0.057,0.0334,0.0,-,0.0458,0.0,0.3825,0.0,-,0.5187
7860,Domingos Duarte,Granada,0.0,0.0,0.0,0.0,0.0,-,0.0,-,0.5078,-,0.5078
1189,Lucas Boyé,Elche,0.0,0.186,0.1889,-,-,0.0,0.1319,0.0,-,-,0.5068
4219,Juan Carlos,SD Huesca,0.0825,0.0,0.0094,0.0,0.4115,-,-,-,0.0,0.0,0.5034
7826,Joseph Aidoo,Celta Vigo,0.3457,0.0696,0.0,0.0,0.0131,-,-,0.0,0.0601,0.0,0.4885
5110,Mariano,Real Madrid,-,-,-,-,-,-,-,0.0951,0.3808,-,0.4759
3226,Ousmane Dembélé,Barcelona,0.0,-,-,0.0,0.0,0.0,0.408,0.0385,-,-,0.4465
9031,Jota,Real Valladolid,-,-,-,-,-,-,-,-,-,0.441,0.441
2424,Óliver Torres,Sevilla,0.2937,0.0,0.0,-,0.0,0.0,0.0526,0.0792,-,-,0.4255
5117,Víctor Díaz,Granada,0.0,0.0,0.4091,-,-,-,-,-,-,-,0.4091
5090,David García,Osasuna,0.0761,0.0,0.0,0.0,0.1821,0.0,0.0,0.0,0.1473,-,0.4055
8774,Dani Gómez,Levante,0.2126,0.0,-,0.0,0.0,0.0617,-,0.1087,0.0216,-,0.4046
2216,Jony,Osasuna,-,-,0.0,0.0966,0.0,0.1202,0.0,0.1531,0.0343,-,0.4042
8761,Shon Weissman,Real Valladolid,0.0,0.0,-,0.1892,0.0,0.0,0.0655,0.1485,-,-,0.4032
2511,Vitolo,Atletico Madrid,0.0,0.0,-,-,0.0,0.4031,-,-,-,-,0.4031
4091,Unai López,Athletic Club,0.0,0.2096,0.0394,0.0,0.0,0.0718,0.0,0.0769,-,-,0.3977
701,Eden Hazard,Real Madrid,-,-,-,-,-,-,0.3962,-,0.0,-,0.3962
8267,Guido Rodríguez,Real Betis,0.0151,0.0643,0.0739,0.0,0.0347,0.0464,0.0144,0.0254,0.0,0.1205,0.3947
8727,Jon Morcillo,Athletic Club,0.1567,0.0838,0.0,0.0255,0.0,0.0189,0.0525,0.0567,0.0,-,0.3941
8711,Miguel Baeza,Celta Vigo,0.0,0.1817,0.0,0.1921,0.0188,-,-,0.0,-,-,0.3926
2505,José Gayá,Valencia,0.0,0.0565,0.1357,0.0,0.0,0.0,0.1528,0.0,0.0429,0.0,0.3879
689,Kenedy,Granada,0.0,0.101,0.0597,0.0193,0.0203,0.185,-,0.0,-,-,0.3853
7330,Uros Racic,Valencia,0.0198,-,0.0,-,-,0.0254,0.0166,0.1943,0.0291,0.0948,0.38
2198,Moi Gómez,Villarreal,0.0454,0.0,0.0,0.0,0.0,0.1576,0.0,0.1064,0.0704,0.0,0.3798
2183,Rubén García,Osasuna,0.1103,0.0156,0.0,0.0,0.0,0.0447,0.1308,0.0538,0.0229,-,0.3781
2482,Tomás Pina,Alaves,0.0,-,-,-,0.0,0.0218,0.3547,0.0,0.0,0.0,0.3765
4799,Abdoulaye Diaby,Getafe,-,-,-,-,-,-,0.3757,-,-,-,0.3757
2285,Fabián Orellana,Real Valladolid,0.0578,0.0309,0.0,0.0228,0.0758,-,0.0,0.1094,0.0,0.0743,0.371
7308,Ander Barrenetxea,Real Sociedad,0.03,0.2805,0.0533,0.0,0.0,-,-,0.0,-,0.0,0.3638
565,Nyom,Getafe,0.1245,0.2019,0.0,0.0,0.0,0.0,0.0366,0.0,0.0,-,0.363
8750,Rodrigo Battaglia,Alaves,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2101,0.3616
7276,Robin Le Normand,Real Sociedad,-,0.0713,0.1282,0.0428,0.0,0.0,0.0566,0.0309,0.03,-,0.3598
1131,Rodrigo Ely,Alaves,0.1093,0.0,-,0.0,0.0183,0.2303,-,-,0.0,-,0.3579
5666,Mouctar Diakhaby,Valencia,0.0,0.0712,0.0,0.0,0.0,0.2823,0.0,-,-,-,0.3535
2117,Marco Asensio,Real Madrid,-,-,0.0376,0.0,0.0,0.0,0.0,0.307,0.0,-,0.3446
2284,Daniel Wass,Valencia,0.0,0.0,0.0266,0.0503,0.0701,0.0841,0.0227,0.0238,0.0,0.0631,0.3407
2092,Gerard Piqué,Barcelona,0.0,0.0,0.0,0.0644,0.0,0.1923,0.0837,0.0,-,-,0.3404
7779,Oihan Sancet,Athletic Club,0.0,0.0,0.0747,0.0,-,-,0.0704,0.0696,0.1244,-,0.3391
8896,Nino,Elche,0.0,0.0,-,-,-,0.336,0.0,-,-,-,0.336
8849,Alberto Perea,Cadiz,-,-,-,-,0.2762,-,0.0,-,0.0,0.0549,0.3311
6656,Sergio Gómez,SD Huesca,-,0.0114,-,0.0,-,0.0,0.0143,0.3044,0.0,0.0,0.3301
1003,Pablo Maffeo,SD Huesca,0.282,0.0,-,-,-,0.0389,0.0,0.0,-,-,0.3209
2245,Raphael Varane,Real Madrid,0.0342,0.0,0.0,0.0126,0.1174,0.1564,-,0.0,0.0,-,0.3206
5682,Gonçalo Guedes,Valencia,0.0161,0.0,0.0577,-,0.0,0.0841,0.1289,-,-,0.0322,0.319
2104,Sergi Roberto,Barcelona,0.0902,0.1099,0.0991,0.0,-,0.0,0.0,0.0164,-,-,0.3156
5712,Diego Carlos,Sevilla,0.0147,0.0,0.0,0.0078,0.0349,0.0988,0.0,0.1568,-,-,0.313
7887,Luuk de Jong,Sevilla,0.065,0.032,0.0427,0.0,0.0,0.1125,0.0,0.06,-,-,0.3122
5128,Oier,Osasuna,0.0,0.0,0.0,0.0,0.0465,0.0,0.0,0.0,0.2649,-,0.3114
2079,Rubén Rochina,Levante,-,-,-,-,0.0766,0.1292,0.0797,0.0242,0.0,-,0.3097
2148,Joaquín,Real Betis,0.0964,0.0777,0.0235,-,0.0,0.0,0.0,0.0815,0.0,0.0269,0.306
3264,Mauro Arambarri,Getafe,0.0,0.032,0.0,0.0486,0.0,0.0583,0.0417,0.0935,0.0179,-,0.292
2132,Jota,Alaves,-,-,-,-,-,0.0815,0.1356,0.0,-,0.0739,0.291
7313,Lee Kang-In,Valencia,0.0682,0.0,0.0,0.1071,0.0,-,0.066,0.0218,0.0276,0.0,0.2907
5081,Edu Expósito,Eibar,0.0737,0.0575,0.0459,0.0,0.0,-,0.0,0.0469,0.0339,0.0266,0.2845
6949,Jorge Miramón,Levante,0.0555,0.0563,0.0,0.0823,0.0814,0.0,0.0,-,-,-,0.2755
7525,Waldo Rubio,Real Valladolid,0.0777,0.0,-,0.0942,0.0,0.0263,-,0.0762,0.0,-,0.2744
8015,Rodrygo,Real Madrid,0.0,-,-,0.0,-,0.0,0.1856,0.0875,-,-,0.2731
4070,Borja,SD Huesca,-,0.0,0.1258,0.0,0.0452,0.0,0.0243,0.0,0.0761,0.0,0.2714
754,Shinji Okazaki,SD Huesca,0.0332,0.0,0.2076,0.0,0.0299,-,-,-,-,0.0,0.2707
8433,José Manuel Fontán,Celta Vigo,-,-,-,0.0328,-,0.2053,0.0,0.0315,-,-,0.2696
8725,Luis Milla,Granada,0.0715,0.0674,0.0157,0.0232,0.0469,-,0.0,-,0.0448,-,0.2695
6076,Nemanja Maksimovic,Getafe,0.0689,0.0,0.0,0.0,0.1173,0.0,0.0413,0.0353,-,-,0.2628
7195,Roberto López,Real Sociedad,0.0532,-,0.1454,0.0595,0.0,0.0,0.0,0.0,-,-,0.2581
5159,Marc Cardona,Osasuna,0.0,0.2578,0.0,-,-,-,-,-,-,-,0.2578
4052,Ximo Navarro,Alaves,-,0.01,0.0,0.0,0.0109,0.0764,0.0391,0.0,-,0.1189,0.2553
2453,Marc Bartra,Real Betis,0.0124,0.0,0.0182,0.0827,0.0,0.1136,0.0123,0.0,0.011,-,0.2502
2368,Montoro,Granada,0.0,0.0723,-,-,0.149,0.0215,0.0,-,0.0073,-,0.2501
6226,Iván Alejo,Cadiz,0.0,0.0,-,0.1373,0.1107,-,-,0.0,-,0.0,0.248
47,Yoshinori Muto,Eibar,-,-,0.0,0.0319,0.1678,0.0,-,0.0,0.0,0.048,0.2477
5272,Emre Mor,Celta Vigo,0.041,0.1073,0.0595,0.0,0.0387,0.0,-,0.0,-,-,0.2465
