id,name,team,1,2,3,4,5,6,7,8,total
2070,Carlos Fernández,Sevilla,-,-,0.0,0.0,0.2097,0.0,-,-,0.2097
5093,Roberto Torres,Osasuna,0.0343,0.0921,0.022,-,-,0.0,0.0595,-,0.2079
7493,Jaime Seoane,SD Huesca,0.0,-,0.0749,0.1259,0.0,0.0,0.0,-,0.2008
47,Yoshinori Muto,Eibar,-,-,0.0,0.0319,0.1678,0.0,-,0.0,0.1997
4070,Borja,SD Huesca,-,0.0,0.1258,0.0,0.0452,0.0,0.0243,0.0,0.1953
493,Gabriel,Valencia,0.0205,0.1425,-,-,-,0.0208,0.0095,0.0,0.1933
2578,Javi Ontiveros,SD Huesca,-,-,0.0,0.0444,0.0584,0.0156,0.0289,0.0433,0.1906
2484,Iñigo Martínez,Athletic Club,0.0,0.0,0.0189,0.0347,0.0211,0.0568,0.0579,-,0.1894
2212,Sergio Álvarez,Eibar,0.0,0.0,-,0.0,0.1386,0.0507,0.0,0.0,0.1893
2197,Pedro León,Eibar,0.1143,0.0,0.0,0.0748,-,-,0.0,-,0.1891
8470,Kike Pérez,Real Valladolid,0.0,0.1024,0.0,0.0,0.0,0.0,0.0,0.0862,0.1886
2444,Bruno,Real Valladolid,0.0162,0.0,0.0179,0.1001,-,0.0543,-,0.0,0.1885
1129,Suso,Sevilla,0.0365,0.0316,0.0673,0.0526,0.0,-,-,-,0.188
8015,Rodrygo,Real Madrid,0.0,-,-,0.0,-,0.0,0.1856,-,0.1856
2543,Borja Iglesias,Real Betis,0.0,0.1566,-,0.0,0.0,0.0274,0.0,-,0.184
3264,Mauro Arambarri,Getafe,0.0,0.032,0.0,0.0486,0.0,0.0583,0.0417,-,0.1806
7781,Frenkie de Jong,Barcelona,0.0,0.0,0.1266,0.0,0.0,0.0533,-,-,0.1799
2296,Mario,Villarreal,0.0,0.0188,0.0387,0.0,0.0779,0.0236,0.0195,0.0,0.1785
6570,Óscar Rodríguez,Sevilla,0.0,0.0,-,-,0.1762,-,-,-,0.1762
1884,Facundo Roncaglia,Osasuna,-,0.0,-,0.1315,0.0,0.0312,0.0125,-,0.1752
6921,Óscar Plano,Real Valladolid,0.0369,0.0151,0.1074,0.0,0.0,0.0,0.0,0.0,0.1594
2521,Alfonso,Villarreal,0.0,0.0,-,-,-,0.1118,0.0367,0.0101,0.1586
7306,Aihen Muñoz,Real Sociedad,0.0434,0.0,0.1152,-,-,-,0.0,0.0,0.1586
7050,Lucas Torró,Osasuna,0.0,0.0,0.0147,0.143,-,-,0.0,-,0.1577
6919,Toni Villa,Real Valladolid,-,-,0.0244,0.0,0.0673,0.0,0.0656,0.0,0.1573
5712,Diego Carlos,Sevilla,0.0147,0.0,0.0,0.0078,0.0349,0.0988,-,-,0.1562
2391,José Mari,Cadiz,0.0289,0.0,0.0198,0.0,0.0172,0.013,0.0358,0.0396,0.1543
2110,Rubén Duarte,Alaves,0.0802,0.0,0.0,0.0,0.0188,-,0.0553,0.0,0.1543
5066,David Timor,Getafe,0.03,0.0487,0.0,0.0172,0.0558,0.0,0.0,-,0.1517
8750,Rodrigo Battaglia,Alaves,0.1515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1515
7338,Bryan Gil Salvatierra,Eibar,-,-,-,-,-,0.086,0.0,0.0644,0.1504
8939,Marcos Acuña,Sevilla,0.0,-,0.0,0.0322,0.0,0.118,-,-,0.1502
7514,Lucas Olaza,Celta Vigo,0.0,0.0163,0.0,0.0688,0.0,0.0503,0.0105,-,0.1459
7779,Oihan Sancet,Athletic Club,0.0,0.0,0.0747,0.0,-,-,0.0704,-,0.1451
7233,Joaquín Fernández,Real Valladolid,0.0,0.0,-,-,-,0.0,0.0553,0.0889,0.1442
1508,Jeison Murillo,Celta Vigo,-,0.0,0.0,0.0,0.0,0.1152,0.0274,0.0,0.1426
5095,Sergio León,Levante,0.0415,-,-,-,-,-,0.1004,-,0.1419
8271,Fernando Niño,Villarreal,0.14,-,-,-,-,-,-,-,0.14
497,Francis Coquelin,Villarreal,0.0,0.0498,0.035,-,-,0.0,0.0547,-,0.1395
2161,Nacho,Real Valladolid,0.0,0.0,0.0857,-,0.0535,0.0,0.0,-,0.1392
4052,Ximo Navarro,Alaves,-,0.01,0.0,0.0,0.0109,0.0764,0.0391,0.0,0.1364
2257,Marcelo,Real Madrid,-,-,0.1363,-,0.0,-,0.0,-,0.1363
2494,Denis Cheryshev,Valencia,0.0,-,-,-,-,0.0,-,0.1361,0.1361
7402,Álex Blanco,Valencia,-,-,-,0.0381,0.0,0.0975,-,-,0.1356
2320,Pedro Mosquera,SD Huesca,0.0,0.0,0.1158,0.0,0.0,0.0128,0.0,0.0054,0.134
5062,Yeray Álvarez,Athletic Club,0.0,-,-,-,0.0,0.0467,0.087,-,0.1337
5162,Nacho Vidal,Osasuna,0.0502,0.028,0.0,0.0,0.0,0.05,0.0,-,0.1282
