id,name,team,1,2,3,4,5,6,7,8,9,10,11,12,13,total
8935,Pedri,Barcelona,0.1305,0.0,0.0,0.3177,0.0,0.1851,0.1146,0.0,0.0,0.0151,0.0,-,-,0.763
7887,Luuk de Jong,Sevilla,0.0,0.3285,0.0,0.0,0.0,0.052,0.0,0.0,0.3297,0.032,0.0,-,-,0.7422
2079,Rubén Rochina,Levante,-,-,-,-,0.0,0.0857,0.057,0.0,0.0,0.1658,0.4198,-,-,0.7283
452,Takashi Inui,Eibar,0.0,0.0,0.1017,0.0,0.0873,0.0507,0.0,0.0,0.0339,-,0.0,0.0,0.4415,0.7151
7430,Emerson,Real Betis,0.2106,0.0777,0.0759,-,0.0648,-,-,0.1326,0.0,0.0777,0.0,0.0662,0.0,0.7055
2284,Daniel Wass,Valencia,0.294,0.2032,0.0153,0.0191,0.0,0.0,0.045,0.0,0.0,0.0981,0.0233,0.0,0.0,0.698
2161,Nacho,Real Valladolid,0.1708,0.0151,0.1253,-,0.0673,0.0,0.0,-,0.1048,0.1041,0.0139,0.0,0.092,0.6933
8735,Salvi Sánchez,Cadiz,0.0726,0.0225,0.1421,0.0,0.0,0.2132,0.0,0.0,0.1841,0.0,0.058,-,-,0.6925
6427,Aitor Ruibal,Real Betis,0.0,-,-,0.0,-,0.0,-,-,0.0,0.0,-,0.6101,0.0755,0.6856
5173,Asier Villalibre,Athletic Club,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6458,0.0,0.0,0.0363,-,0.6821
2112,Papakouly Diop,Eibar,0.0,-,0.0207,-,0.0,-,0.1097,0.0,0.0,0.0454,0.5055,-,0.0,0.6813
2117,Marco Asensio,Real Madrid,-,-,0.0,0.5716,0.1086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,0.6802
615,Fernando,Sevilla,-,0.0247,0.0,0.0114,-,0.0,0.0713,0.5023,0.069,0.0,0.0,-,-,0.6787
8135,Esteban Burgos,Eibar,-,-,-,0.0,0.0,0.0,0.0,0.0,0.0,-,0.6757,0.0,0.0,0.6757
2509,Dimitri Foulquier,Granada,0.0,0.0,0.0157,0.0,0.0697,0.0,-,-,0.576,0.0,0.0,0.0,-,0.6614
2384,Santi Mina,Celta Vigo,0.0,-,0.0,0.0,0.0,0.0999,0.0,0.0,0.0,0.124,0.0,0.4371,-,0.661
2424,Óliver Torres,Sevilla,0.1226,0.0,0.0,-,0.2057,0.0,0.0294,0.0,0.0655,0.0673,0.1701,-,-,0.6606
7891,Renan Lodi,Atletico Madrid,0.0,0.0,0.0,-,0.3676,-,-,-,0.0,-,0.291,-,-,0.6586
6949,Jorge Miramón,Levante,0.5815,0.0,0.0,0.0,0.0697,0.0,0.0,-,-,-,0.0,0.0,-,0.6512
6225,Paulo Oliveira,Eibar,0.0,0.0,0.0,-,0.0,0.0,0.0,0.0,0.6475,0.0,-,-,-,0.6475
4070,Borja,SD Huesca,-,0.0,0.0,0.0613,0.1776,0.0,0.0,0.0376,0.0,0.1117,0.0302,0.2249,0.0,0.6433
2320,Pedro Mosquera,SD Huesca,0.0237,0.086,0.0,0.022,0.0,0.2885,0.0296,0.0202,0.0544,0.0,0.0,0.0626,0.0232,0.6102
2098,Luis Suárez,Atletico Madrid,0.4032,0.0,0.0,0.0,0.0361,-,0.0701,-,-,0.0924,0.0,-,-,0.6018
2130,Dani García,Athletic Club,0.0613,0.0,0.0189,0.0255,0.4439,0.0,0.0,0.0,-,-,-,0.0456,-,0.5952
2401,Muniain,Athletic Club,0.2184,0.0,0.085,0.0119,0.0624,0.0349,0.0459,0.0519,0.0,0.0,0.0545,0.027,-,0.5919
5140,Kike Barja,Osasuna,0.0,0.0,-,0.0114,0.5353,0.0,0.0441,-,0.0,0.0,0.0,0.0,-,0.5908
2226,Zaldúa,Real Sociedad,-,-,-,-,-,-,-,-,0.1487,0.0899,0.0,0.015,0.3326,0.5862
2494,Denis Cheryshev,Valencia,0.5069,-,-,-,-,0.0,-,0.0,0.072,0.0,-,-,0.0,0.5789
4177,Álex Fernández,Cadiz,0.118,0.0,0.0,0.0,0.1147,0.1407,0.0138,0.0,0.0,0.0,0.1859,0.0,-,0.5731
5077,Mikel Vesga,Athletic Club,0.0,0.0,-,-,-,-,0.5721,0.0,0.0,0.0,0.0,0.0,-,0.5721
8107,Jorge De Frutos,Levante,0.0,0.0,0.0,0.1215,0.0,0.0,0.0621,0.0518,0.0,0.0,0.3338,0.0,-,0.5692
488,Philippe Coutinho,Barcelona,0.3482,0.1038,0.0,0.0,0.0,-,-,0.0,0.0604,0.0567,0.0,-,-,0.5691
3667,Nabil Fekir,Real Betis,0.0,0.1343,0.061,0.07,0.0,0.0,0.0,0.0777,-,-,0.0426,0.1153,0.0659,0.5668
2125,Ander Capa,Athletic Club,0.0175,0.1518,0.0173,0.0299,0.0,0.1081,0.0,0.1724,0.0,0.0,0.0586,0.0,-,0.5556
6926,William Carvalho,Real Betis,0.0,0.1392,0.0,0.0,0.0,0.0,0.3409,0.0,0.0,0.0,0.0378,0.0352,0.0,0.5531
2088,Edgar Méndez,Alaves,0.0,0.0,0.0197,0.0,0.0285,0.1878,0.028,0.0,0.2888,-,0.0,0.0,0.0,0.5528
8736,Jorge Pombo,Cadiz,0.1678,0.0,0.3616,-,0.0,-,-,-,0.0,-,0.0172,-,-,0.5466
8939,Marcos Acuña,Sevilla,0.0467,-,0.0,0.0078,0.1461,0.2112,0.0,0.055,-,-,0.0789,-,-,0.5457
8001,Takefusa Kubo,Villarreal,0.0,0.1276,0.0387,0.0,0.0,0.0236,0.0,0.0,0.0995,0.0,0.0,0.1798,0.0763,0.5455
8892,Josema,Elche,0.0,0.0,0.0,-,0.0,0.0,0.0,0.4628,0.0,0.0,0.0814,-,-,0.5442
6368,Mathías Olivera,Getafe,0.03,0.1415,0.0,0.0,0.0,0.1675,0.0471,-,0.1256,0.0286,0.0,0.0,-,0.5403
2189,Pedro López,SD Huesca,-,-,0.0728,0.0,-,-,-,-,0.4647,0.0,-,-,-,0.5375
2586,Anaitz Arbilla,Eibar,-,-,0.0,0.0127,0.4743,0.0,0.0,0.0,0.0,0.048,0.0,0.0,0.0,0.535
802,Diego Costa,Atletico Madrid,0.069,0.0742,0.0,0.3444,-,-,-,0.023,-,-,-,-,-,0.5106
7493,Jaime Seoane,SD Huesca,0.0,-,0.0479,0.0444,0.4115,0.0,0.0,-,-,-,0.0,-,-,0.5038
495,Nacho Monreal,Real Sociedad,-,-,-,0.0,0.0,0.0,-,-,0.4613,0.0414,0.0,-,-,0.5027
1235,Ante Budimir,Osasuna,-,-,-,-,-,-,0.0,0.0817,0.0594,0.3577,0.0,0.0,-,0.4988
1131,Rodrigo Ely,Alaves,0.0751,0.0,-,0.0,0.0,0.0,-,-,0.4186,-,-,-,0.0,0.4937
493,Gabriel,Valencia,0.0,0.0,-,-,-,0.0,0.0,0.4918,0.0,0.0,0.0,0.0,0.0,0.4918
2442,Kevin Gameiro,Valencia,-,-,0.0,0.0,0.0,0.0,0.0,-,0.0,0.4907,0.0,0.0,-,0.4907
2484,Iñigo Martínez,Athletic Club,0.0,0.0,0.0,0.3064,0.068,0.0,0.0,0.0,0.0,0.0,-,0.1109,-,0.4853
1884,Facundo Roncaglia,Osasuna,-,0.0052,-,0.4788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-,-,0.484
2589,Rafa Mir,SD Huesca,0.0,0.0,0.0,0.0,0.0506,0.0,0.0,0.3713,0.0,0.0,0.0,0.0522,0.0,0.4741
1950,Martín Montoya,Real Betis,-,-,0.0,-,-,-,0.4443,-,-,-,0.0263,-,-,0.4706
3425,Thomas Lemar,Atletico Madrid,0.0,-,-,0.1019,0.0,0.0,0.1024,0.0,0.1022,0.1559,0.0,-,-,0.4624
5162,Nacho Vidal,Osasuna,0.0,0.0,0.0,0.0,0.0,0.0427,0.0,0.0,0.0,0.3515,0.0,0.0651,-,0.4593
2361,Willian José,Real Sociedad,-,-,-,0.0,-,0.0,0.0545,0.0,0.4015,0.0,0.0,0.0,-,0.456
